Date,Open,High,Low,Close,Adj Close,Volume,company
2023-08-17,0.84,1.32,0.829,0.93,0.93,1992700,Blue Star Foods Corp Historical Price
2023-08-18,0.82,0.91,0.802,0.88,0.88,130300,Blue Star Foods Corp Historical Price
2023-08-21,0.896,0.92,0.88,0.894,0.894,58800,Blue Star Foods Corp Historical Price
2023-08-22,0.87,0.885,0.75,0.79,0.79,149400,Blue Star Foods Corp Historical Price
2023-08-23,0.8,0.808,0.75,0.751,0.751,169800,Blue Star Foods Corp Historical Price
2023-08-24,0.77,0.78,0.701,0.716,0.716,66900,Blue Star Foods Corp Historical Price
2023-08-25,0.714,0.737,0.656,0.675,0.675,167000,Blue Star Foods Corp Historical Price
2023-08-28,0.69,0.7,0.65,0.66,0.66,70400,Blue Star Foods Corp Historical Price
2023-08-29,0.67,0.67,0.6,0.613,0.613,114200,Blue Star Foods Corp Historical Price
2023-08-30,0.612,0.612,0.555,0.585,0.585,52200,Blue Star Foods Corp Historical Price
2023-08-31,0.556,0.574,0.54,0.558,0.558,132400,Blue Star Foods Corp Historical Price
2023-09-01,0.56,0.56,0.51,0.54,0.54,152300,Blue Star Foods Corp Historical Price
2023-09-05,0.548,0.738,0.548,0.659,0.659,1812600,Blue Star Foods Corp Historical Price
2023-09-06,0.571,0.586,0.455,0.466,0.466,618000,Blue Star Foods Corp Historical Price
2023-09-07,0.399,0.55,0.381,0.539,0.539,456500,Blue Star Foods Corp Historical Price
2023-09-08,0.478,0.52,0.451,0.48,0.48,87500,Blue Star Foods Corp Historical Price
2023-09-11,0.48,0.481,0.437,0.469,0.469,91900,Blue Star Foods Corp Historical Price
2023-09-12,0.46,0.468,0.43,0.45,0.45,93100,Blue Star Foods Corp Historical Price
2023-09-13,0.47,0.47,0.385,0.397,0.397,159300,Blue Star Foods Corp Historical Price
2023-09-14,0.381,0.4,0.378,0.388,0.388,87900,Blue Star Foods Corp Historical Price
2023-09-15,0.372,0.399,0.35,0.355,0.355,148200,Blue Star Foods Corp Historical Price
2023-09-18,0.381,0.381,0.292,0.334,0.334,198200,Blue Star Foods Corp Historical Price
2023-09-19,0.33,0.399,0.294,0.326,0.326,493100,Blue Star Foods Corp Historical Price
2023-09-20,0.326,0.328,0.295,0.316,0.316,120000,Blue Star Foods Corp Historical Price
2023-09-21,0.309,0.32,0.298,0.301,0.301,136600,Blue Star Foods Corp Historical Price
2023-09-22,0.31,0.335,0.27,0.29,0.29,2852200,Blue Star Foods Corp Historical Price
2023-09-25,0.258,0.274,0.225,0.232,0.232,998400,Blue Star Foods Corp Historical Price
2023-09-26,0.24,0.252,0.218,0.229,0.229,568000,Blue Star Foods Corp Historical Price
