Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,749.700012,749.75,732.950012,737.950012,734.286926,22042,Caplin Point Historical
2023-01-06,733.950012,742.900024,721.5,726.400024,722.794312,24054,Caplin Point Historical
2023-01-09,730.200012,732.599976,722.549988,728.700012,725.082886,23446,Caplin Point Historical
2023-01-10,732.5,732.5,722.0,729.650024,726.028137,17023,Caplin Point Historical
2023-01-11,733.5,733.799988,726.0,727.650024,724.038086,15877,Caplin Point Historical
2023-01-12,731.25,731.25,715.150024,719.150024,715.580322,24139,Caplin Point Historical
2023-01-13,718.0,720.950012,710.099976,712.599976,709.062744,23584,Caplin Point Historical
2023-01-16,716.150024,719.400024,711.0,712.75,709.212036,11632,Caplin Point Historical
2023-01-17,716.349976,716.5,707.049988,709.5,705.978149,17165,Caplin Point Historical
2023-01-18,713.049988,713.049988,703.450012,704.049988,700.555176,25294,Caplin Point Historical
2023-01-19,706.150024,715.0,701.150024,705.599976,702.097473,29524,Caplin Point Historical
2023-01-20,706.0,715.049988,691.25,696.900024,693.440735,39898,Caplin Point Historical
2023-01-23,699.200012,703.099976,682.099976,685.25,681.848572,46138,Caplin Point Historical
2023-01-24,684.099976,695.400024,684.099976,693.099976,689.659546,12248,Caplin Point Historical
2023-01-25,688.049988,695.0,684.0,687.049988,683.639587,28357,Caplin Point Historical
2023-01-27,685.0,696.25,671.0,685.5,682.09729,37656,Caplin Point Historical
2023-01-30,689.099976,690.849976,679.299988,682.799988,679.410706,18523,Caplin Point Historical
2023-01-31,686.150024,698.0,682.5,692.950012,689.510315,32325,Caplin Point Historical
2023-02-01,696.150024,711.900024,690.049988,693.049988,689.609802,23645,Caplin Point Historical
2023-02-02,694.0,709.849976,693.049988,699.150024,695.679565,22654,Caplin Point Historical
2023-02-03,693.0,701.700012,684.0,693.400024,689.95813,26454,Caplin Point Historical
2023-02-06,692.799988,716.25,692.049988,695.150024,691.699402,31599,Caplin Point Historical
2023-02-07,695.0,707.700012,692.900024,705.900024,702.396057,33825,Caplin Point Historical
2023-02-08,706.0,707.849976,699.5,705.400024,701.89856,24173,Caplin Point Historical
2023-02-09,707.849976,707.849976,700.549988,703.25,699.759216,9733,Caplin Point Historical
2023-02-10,700.5,717.0,700.5,712.700012,709.162292,27491,Caplin Point Historical
2023-02-13,723.400024,726.950012,687.049988,704.5,701.002991,74415,Caplin Point Historical
2023-02-14,708.049988,709.950012,690.0,696.549988,693.092407,86669,Caplin Point Historical
2023-02-15,686.099976,699.0,680.549988,683.75,680.355957,198356,Caplin Point Historical
2023-02-16,687.150024,698.0,685.049988,692.299988,688.863525,40142,Caplin Point Historical
2023-02-17,691.549988,692.349976,685.0,686.900024,683.490356,17228,Caplin Point Historical
2023-02-20,686.200012,689.049988,680.549988,681.700012,678.316162,24753,Caplin Point Historical
2023-02-21,681.0,682.599976,672.0,673.200012,669.858398,43827,Caplin Point Historical
2023-02-22,674.950012,688.0,669.0,670.75,667.420532,61132,Caplin Point Historical
2023-02-23,670.75,674.0,665.0,666.150024,662.843323,34372,Caplin Point Historical
2023-02-24,668.049988,674.799988,665.0,668.5,665.181641,50416,Caplin Point Historical
2023-02-27,663.099976,679.0,657.849976,663.299988,660.007507,71703,Caplin Point Historical
2023-02-28,657.299988,664.950012,650.950012,653.25,650.007385,64582,Caplin Point Historical
2023-03-01,656.0,663.400024,654.950012,659.900024,656.624329,27030,Caplin Point Historical
2023-03-02,660.0,664.849976,655.0,655.849976,652.594482,32954,Caplin Point Historical
2023-03-03,658.450012,674.0,656.049988,663.849976,660.554688,73851,Caplin Point Historical
2023-03-06,667.299988,678.25,660.0,666.150024,662.843323,67751,Caplin Point Historical
2023-03-08,664.0,680.0,657.0,659.549988,656.276123,69805,Caplin Point Historical
2023-03-09,660.849976,670.049988,660.849976,663.150024,659.858276,54050,Caplin Point Historical
2023-03-10,663.150024,663.299988,656.200012,659.099976,655.828308,30244,Caplin Point Historical
2023-03-13,660.0,662.349976,645.0,651.799988,648.564575,36998,Caplin Point Historical
2023-03-14,655.150024,657.450012,635.0,637.0,633.838013,42537,Caplin Point Historical
2023-03-15,640.200012,644.650024,621.049988,629.700012,626.57428,62394,Caplin Point Historical
2023-03-16,625.5,632.849976,610.0,613.799988,610.753174,86012,Caplin Point Historical
2023-03-17,616.0,631.950012,605.0,610.599976,607.569031,82915,Caplin Point Historical
2023-03-20,639.950012,662.0,611.0,631.5,628.365356,1372787,Caplin Point Historical
2023-03-21,625.599976,636.849976,611.25,614.450012,611.399963,108090,Caplin Point Historical
2023-03-22,617.5,620.5,601.599976,604.25,601.25061,108187,Caplin Point Historical
2023-03-23,609.0,609.0,600.0,601.799988,598.812744,50677,Caplin Point Historical
2023-03-24,604.200012,606.700012,591.099976,597.599976,594.633606,129626,Caplin Point Historical
2023-03-27,597.5,604.950012,590.0,591.799988,588.862427,144527,Caplin Point Historical
2023-03-28,591.799988,599.0,580.0,584.150024,581.250427,130833,Caplin Point Historical
2023-03-29,588.200012,600.0,575.0,592.5,589.558899,156855,Caplin Point Historical
2023-03-31,596.400024,603.799988,583.549988,595.950012,592.991821,167020,Caplin Point Historical
2023-04-03,599.099976,615.950012,596.0,609.900024,606.87262,217297,Caplin Point Historical
2023-04-05,615.0,628.0,608.799988,614.5,611.449707,80205,Caplin Point Historical
2023-04-06,617.700012,618.349976,612.0,613.650024,610.604004,42421,Caplin Point Historical
2023-04-10,616.900024,620.950012,610.799988,614.25,611.200928,34662,Caplin Point Historical
2023-04-11,617.5,652.950012,612.950012,635.299988,632.146484,152041,Caplin Point Historical
2023-04-12,635.0,644.0,631.200012,633.700012,630.554443,98768,Caplin Point Historical
2023-04-13,636.799988,636.799988,625.0,628.450012,625.330444,56944,Caplin Point Historical
2023-04-17,628.0,631.299988,618.0,620.25,617.171143,66786,Caplin Point Historical
2023-04-18,623.5,624.5,612.900024,620.299988,617.220886,119105,Caplin Point Historical
2023-04-19,621.0,688.0,621.0,676.5,673.141968,774672,Caplin Point Historical
2023-04-20,687.0,689.799988,665.0,669.950012,666.624451,239713,Caplin Point Historical
2023-04-21,672.5,675.349976,665.599976,669.650024,666.325989,66641,Caplin Point Historical
2023-04-24,668.049988,668.049988,647.900024,656.049988,652.793457,79681,Caplin Point Historical
2023-04-25,659.0,660.400024,650.25,655.599976,652.345703,34886,Caplin Point Historical
2023-04-26,650.099976,660.0,646.799988,654.5,651.25116,38251,Caplin Point Historical
2023-04-27,657.799988,679.549988,657.75,673.700012,670.355896,63622,Caplin Point Historical
2023-04-28,673.700012,682.950012,667.0,678.299988,674.932983,65155,Caplin Point Historical
2023-05-02,678.700012,688.5,676.049988,684.75,681.351013,67435,Caplin Point Historical
2023-05-03,681.799988,695.0,679.0,684.950012,681.550049,50496,Caplin Point Historical
2023-05-04,684.950012,686.950012,675.349976,677.950012,674.584778,26219,Caplin Point Historical
2023-05-05,680.0,682.700012,673.0,677.099976,673.738953,34959,Caplin Point Historical
2023-05-08,677.099976,691.0,674.099976,685.650024,682.246521,36582,Caplin Point Historical
2023-05-09,689.700012,693.0,679.0,685.25,681.848572,24776,Caplin Point Historical
2023-05-10,683.0,690.549988,673.150024,680.950012,677.569885,59803,Caplin Point Historical
2023-05-11,682.0,696.0,682.0,685.650024,682.246521,57602,Caplin Point Historical
2023-05-12,689.099976,710.0,676.25,706.700012,703.192078,193556,Caplin Point Historical
2023-05-15,706.650024,723.299988,698.75,707.450012,703.938354,96776,Caplin Point Historical
2023-05-16,711.200012,722.400024,708.0,719.049988,715.480774,54538,Caplin Point Historical
2023-05-17,714.150024,722.650024,705.299988,709.25,705.729431,73783,Caplin Point Historical
2023-05-18,712.799988,719.0,703.099976,705.299988,701.799011,39545,Caplin Point Historical
2023-05-19,705.25,708.650024,691.099976,700.099976,696.624756,41448,Caplin Point Historical
2023-05-22,703.799988,713.0,699.849976,711.049988,707.520447,44116,Caplin Point Historical
2023-05-23,714.0,722.450012,712.0,716.299988,712.744385,42567,Caplin Point Historical
2023-05-24,717.0,760.0,715.900024,742.849976,739.162598,254537,Caplin Point Historical
2023-05-25,742.0,760.0,733.0,737.25,733.590393,131338,Caplin Point Historical
2023-05-26,742.450012,743.200012,730.0,736.349976,732.694885,53297,Caplin Point Historical
2023-05-29,756.0,770.0,731.549988,735.900024,732.247131,162699,Caplin Point Historical
2023-05-30,744.299988,750.849976,736.049988,743.400024,739.7099,79577,Caplin Point Historical
2023-05-31,747.150024,751.950012,741.700012,747.599976,743.888977,75164,Caplin Point Historical
2023-06-01,746.799988,782.200012,745.25,756.75,752.993652,255167,Caplin Point Historical
2023-06-02,760.700012,768.400024,755.75,761.5,757.720032,132048,Caplin Point Historical
2023-06-05,761.5,769.900024,759.049988,763.299988,759.511047,65450,Caplin Point Historical
2023-06-06,772.950012,778.900024,764.349976,774.150024,770.307251,84109,Caplin Point Historical
2023-06-07,778.25,781.799988,774.299988,777.400024,773.541138,58403,Caplin Point Historical
2023-06-08,783.5,833.0,777.400024,809.0,804.984253,674987,Caplin Point Historical
2023-06-09,805.0,810.349976,790.5,800.049988,798.051575,128490,Caplin Point Historical
2023-06-12,802.25,814.700012,791.900024,811.25,809.223633,155856,Caplin Point Historical
2023-06-13,815.0,827.0,811.0,817.349976,815.30835,116106,Caplin Point Historical
2023-06-14,819.950012,819.950012,808.200012,810.099976,808.076477,55913,Caplin Point Historical
2023-06-15,814.0,818.200012,806.799988,811.150024,809.123901,63202,Caplin Point Historical
2023-06-16,809.0,818.549988,809.0,812.25,810.22113,51891,Caplin Point Historical
2023-06-19,820.0,831.549988,810.0,814.299988,812.265991,84980,Caplin Point Historical
2023-06-20,814.299988,817.5,801.349976,806.349976,804.335815,68961,Caplin Point Historical
2023-06-21,809.0,813.849976,796.599976,801.549988,799.547852,63790,Caplin Point Historical
2023-06-22,801.549988,812.450012,783.0,786.049988,784.086548,71166,Caplin Point Historical
2023-06-23,785.0,799.450012,781.849976,787.0,785.03418,62814,Caplin Point Historical
2023-06-26,793.799988,800.0,788.700012,797.099976,795.108948,43433,Caplin Point Historical
