company,pe_ratio,roe
Vishnusurya,63.12,32.85
Thomas Scott,34.22,26.53
Vinati Organics,43.82,22.63
C D S L,61.53,23.80
Persistent Sys,55.70,25.32
AGI Infra,20.14,32.13
Sumitomo Chemi.,54.96,23.39
NMDC,13.09,23.00
KPIT Technologi.,82.56,25.70
Vishnu Chemicals,18.75,38.67
Duncan Engg.,23.49,23.52
Prolife Indust.,11.99,23.86
Styrenix Perfor.,16.38,22.93
Bharat Electron,41.12,22.79
Glenmark Life,17.58,22.30
Aaron Industries,51.40,29.69
Deepak Nitrite,42.51,22.71
Gujarat Fluoroch,45.90,27.03
S P I C,7.86,35.86
Aurangabad Dist.,12.11,28.94
Kilburn Engg.,28.82,33.73
U P Hotels,23.42,21.65
Kothari Petroche,14.26,21.86
KFin Technolog.,39.38,25.86
Accent Microcell,57.39,34.11
WPIL,18.23,26.25
Lloyds Engineeri,95.47,25.44
Prakash Pipes,12.70,22.84
Schaeffler India,52.76,21.88
C.E. Info System,83.89,22.35
Mphasis,30.55,21.86
Vasundhara Rasy.,13.90,23.12
Dhanalaxmi Roto,5.48,20.04
Triveni Turbine,57.53,21.50
Indo Borax & Ch.,15.71,21.05
Advait Infratech,48.79,21.74
E2E Networks,66.19,22.58
Pakka,16.69,27.20
JK Paper,5.56,33.95
Raghav Product.,63.97,21.14
Saksoft,35.59,22.67
XPRO India,73.99,26.57
HCL Technologies,24.96,23.00
Gokul Agro,13.95,23.62
CMS Info Systems,20.46,20.19
Chemfab Alka.,11.50,20.71
Tata Technolog.,76.15,23.68
Apcotex Industri,36.71,24.72
Timken India,67.62,21.13
Dhunseri Vent.,4.36,23.12
Sagar Diamonds,3.18,20.06
Alkyl Amines,79.41,21.46
India Pesticides,42.15,20.43
Global Pet Indus,59.81,20.36
Grindwell Norton,68.85,20.74
Earthstahl &All.,22.03,29.56
Jamna Auto Inds.,23.37,22.92
Titan Biotech,18.03,21.86
Synoptics Techno,17.63,29.85
Godawari Power,13.67,22.29
Varun Beverages,81.90,33.54
Happiest Minds,62.20,28.93
Eicher Motors,29.52,21.12
Lancer Containe.,38.86,40.65
Committed Cargo,12.35,20.20
Ratnamani Metals,38.13,21.05
Gretex Corporate,61.20,73.57
Greenpanel Inds.,29.20,23.58
Century Plyboard,44.61,22.78
Rajratan Global,53.14,25.66
Dhanuka Agritech,21.27,21.32
APL Apollo Tubes,52.46,23.50
Cummins India,41.76,21.63
Suraj Products,16.74,28.67
Supreme Inds.,54.34,20.95
Mahanagar Gas,10.57,20.44
Panch.Organics,16.66,20.52
Dr Reddy's Labs,19.14,21.64
KMC Speciality,49.87,26.72
Bhagwati Auto,28.19,25.17
Sealmatic India,40.70,20.08
Yatharth Hospit.,48.95,43.87
Petronet LNG,10.23,22.85
Hind. Unilever,58.96,20.47
Sr.Rayala.Hypo,7.30,21.55
Sungarner Energ.,69.99,30.96
Caplin Point Lab,25.63,25.59
Kewal Kir.Cloth.,32.92,21.82
Asarfi Hospital,23.65,24.88
Chamanlal Setia,10.26,23.12
Happy Forgings,45.87,23.50
Banco Products,16.38,23.87
KEI Industries,57.15,20.21
Roto Pumps,31.80,22.42
Suraj,14.40,20.46
Maithan Alloys,11.66,20.01
Hindustan Hardy,14.44,22.63
Shish Industries,65.68,22.52
Vadilal Inds.,13.12,28.44
H.G. Infra Engg.,10.24,29.36
Oil India,6.01,25.23
Brady & Morris,26.72,38.99
Cyber Media Res.,19.64,25.98
Unique Organics,17.98,26.80
Josts Engg. Co.,38.93,20.19
Trident Lifeline,30.77,23.84
AIA Engineering,27.96,20.05
Aurionpro Sol.,49.57,21.76
Redington,11.00,21.89
Elecon Engg.Co,35.65,20.50
Goyal Salt,85.33,25.39
Shriram Pistons,18.20,20.77
Shree Ganesh Rem,40.03,22.60
Vikram Thermo,23.05,20.72
K P R Mill Ltd,33.12,23.38
Elgi Equipments,42.26,23.77
Blue Star,60.81,23.41
Integra Engg.,42.54,34.39
Metro Brands,100.78,25.43
Garg Furnace,21.06,33.53
Dixon Technolog.,124.62,22.52
Rainbow Child.,57.76,25.52
D. P. Abhushan,29.32,28.40
eMudhra,54.11,22.42
HMA Agro Inds.,41.98,28.37
Creative Newtech,38.42,24.84
Berger Paints,67.56,20.44
Krishna Institu.,46.28,21.34
SBC Exports,54.73,22.19
Alufluoride,22.65,22.06
Tinna Rubber,37.87,24.39
Galaxy Surfact.,28.17,22.09
Agarwal Indl.,15.21,26.21
Gulf Oil Lubric.,13.17,20.92
Annapurna Swadi.,49.23,20.94
Shri Techtex,23.50,35.63
Campus Activewe.,85.96,23.81
Prerna Infra.,14.42,22.78
Loyal Equipments,29.01,30.57
Jash Engineering,33.13,24.30
Unihealth Consul,26.20,36.11
SRF,42.85,22.84
Transport Corp.,18.96,20.47
D.K. Enterprises,12.99,21.39
Bondada Engineer,48.10,26.08
Kreon Finnancial,19.10,37.65
Laurus Labs,64.27,20.43
Bombay Super Hyb,133.81,34.98
Pentagon Rubber,29.37,44.13
MANGALAM SEEDS,18.85,21.76
NELCO,82.31,20.52
Jupiter Life Lin,100.88,22.51
Tega Inds.,41.00,20.66
R C F,22.05,21.19
Maximus Interna.,42.24,23.96
GE Shipping Co,5.52,26.84
Universal Auto.,26.83,26.26
Adani Total Gas,214.78,20.39
Hind.Oil Explor.,8.95,24.13
Satia Industries,5.80,30.05
Pearl Global Ind,19.08,21.10
M K Proteins,89.89,23.68
Shukra Pharma.,15.21,21.18
Allcargo Logist.,31.61,20.10
Sportking India,12.80,20.18
Baba Food,21.58,22.22
Rushil Decor,21.68,23.88
JSW Infrast,60.70,20.41
Bharat Wire,25.89,50.49
GRM Overseas,24.12,23.38
R R Kabel,96.29,20.34
Cyient DLM,164.85,23.36
Tilaknagar Inds.,42.02,23.89
DCX Systems,39.23,20.92
W S Inds.,32.29,63.75
A K Spintex,9.50,27.25
