company,code,market_cap
Assurant,AIZ,$8.97 B
AGCO,AGCO,$8.96 B
IDBI Bank,IDBI.NS,$8.95 B
Chewy,CHWY,$8.95 B
President Chain Store (PSCS),2912.TW,$8.95 B
Swedish Orphan Biovitrum,SOBI.ST,$8.94 B
Knight-Swift,KNX,$8.94 B
Gecina,GFC.PA,$8.93 B
Teleperformance,TEP.PA,$8.91 B
Meridian Energy,MEZ.AX,$8.90 B
ST Engineering,S63.SI,$8.90 B
Wharf Holdings,0004.HK,$8.90 B
Clean Harbors,CLH,$8.89 B
Ooredoo,ORDS.AE,$8.89 B
Gjensidige Forsikring,GJF.OL,$8.89 B
Red Eléctrica,RED.MC,$8.87 B
Intertek,ITRK.L,$8.86 B
CyberArk,CYBR,$8.85 B
Central Pattana,CPN.BK,$8.84 B
Ford Otosan,FROTO.IS,$8.84 B
Robert Half,RHI,$8.84 B
CSN Mineração,CMIN3.SA,$8.82 B
Accton Technology,2345.TW,$8.81 B
Penumbra,PEN,$8.80 B
Toppan,7911.T,$8.80 B
BJ's Wholesale Club,BJ,$8.80 B
SBI Card,SBICARD.NS,$8.80 B
Bupa Arabia for Cooperative Insurance Company,8210.SR,$8.79 B
Sarepta Therapeutics,SRPT,$8.77 B
Abu Dhabi Ports,ADPORTS.AE,$8.75 B
Duolingo,DUOL,$8.75 B
Yamaha Motor,7272.T,$8.75 B
Everbright Securities Company,6178.HK,$8.73 B
Tetra Tech,TTEK,$8.72 B
Roivant Sciences,ROIV,$8.72 B
Whitbread,WTB.L,$8.71 B
Omron,6645.T,$8.71 B
Fisher & Paykel Healthcare,FPH.NZ,$8.71 B
Coca-Cola Consolidated,COKE,$8.70 B
PMetal (Press Metal Aluminium),8869.KL,$8.69 B
Pearson,PSO,$8.69 B
Wistron Corporation,3231.TW,$8.68 B
WESCO International,WCC,$8.68 B
Cytokinetics,CYTK,$8.67 B
Unilever Indonesia,UNVR.JK,$8.67 B
Birkenstock,BIRK,$8.67 B
Indian Railway Catering & Tourism,IRCTC.NS,$8.66 B
TIM S.A.,TIMB,$8.66 B
Samsung Electro-Mechanics,009155.KS,$8.66 B
Brookfield Property Partners,BPYPP,$8.66 B
Webster Financial,WBS,$8.65 B
Mitsubishi Chemical Holdings,4188.T,$8.64 B
Jardine Cycle & Carriage,C07.SI,$8.64 B
Sino Land,0083.HK,$8.64 B
Osaka Gas,9532.T,$8.64 B
Ono Pharmaceutical,4528.T,$8.63 B
Zydus Lifesciences,ZYDUSLIFE.NS,$8.62 B
Max Healthcare Institute,MAXHEALTH.NS,$8.61 B
Chemed,CHE,$8.61 B
TechnipFMC,FTI,$8.61 B
Guidewire Software,GWRE,$8.61 B
Marico,MARICO.NS,$8.60 B
Autoliv,ALV,$8.60 B
Grupo Aeroportuario del Sureste,ASR,$8.59 B
American Airlines,AAL,$8.56 B
Croda International,CRDA.L,$8.55 B
SIG Combibloc,SIGN.SW,$8.55 B
Bangkok Bank,BBL.BK,$8.54 B
CG Power and Industrial Solutions,CGPOWER.NS,$8.52 B
(HLBank) Hong Leong Bank,5819.KL,$8.50 B
Jones Lang LaSalle,JLL,$8.50 B
Grupo Aeroportuario del Pacífico,PAC,$8.47 B
T&D Holdings,8795.T,$8.46 B
Boliden,BOL.ST,$8.45 B
Japan Airlines,9201.T,$8.45 B
Tapestry,TPR,$8.44 B
Saputo,SAP.TO,$8.43 B
Pinnacle West Capital,PNW,$8.42 B
On Holding,ONON,$8.42 B
Samvardhana Motherson,MOTHERSON.NS,$8.42 B
Jefferies Financial Group,JEF,$8.42 B
Rumo,RAIL3.SA,$8.41 B
Hainan Airlines,900945.SS,$8.41 B
Trex,TREX,$8.41 B
JD Sports Fashion,JD.L,$8.41 B
JSW Energy,JSWENERGY.NS,$8.40 B
Arkema,AKE.PA,$8.39 B
Americold,COLD,$8.39 B
Berger Paints,BERGEPAINT.NS,$8.38 B
Curtiss-Wright,CW,$8.38 B
Banco BPM,BAMI.MI,$8.37 B
Universal Display Corporation,OLED,$8.37 B
Wärtsilä,WRT1V.HE,$8.36 B
WEX,WEX,$8.36 B
NHPC Limited,NHPC.NS,$8.35 B
Kinsale Capital Group,KNSL,$8.34 B
Trina Solar,688599.SS,$8.34 B
Indofood CBP,ICBP.JK,$8.32 B
Carvana,CVNA,$8.31 B
Federal Realty Investment Trust,FRT,$8.31 B
Türkiye Is Bankasi,ISCTR.IS,$8.30 B
Sofina,SOF.VI,$8.29 B
EastGroup Properties,EGP,$8.29 B
Old Republic International,ORI,$8.29 B
Rational AG,RAA.F,$8.28 B
Tempur Sealy,TPX,$8.28 B
monday.com,MNDY,$8.27 B
Barito Pacific,BRPT.JK,$8.27 B
Tube Investments of India,TIINDIA.NS,$8.27 B
Toray Industries,3402.T,$8.27 B
WH Group,0288.HK,$8.26 B
ImmunoGen,IMGN,$8.26 B
Core & Main,CNM,$8.25 B
Rexel,RXL.PA,$8.25 B
Gerdau,GGB,$8.24 B
Celulosa Argentina,CELU.BA,$8.24 B
ICICI Lombard,ICICIGI.NS,$8.24 B
SEI Investments,SEIC,$8.24 B
ADNOC Logistics & Services,ADNOCLS.AE,$8.23 B
Kongsberg Gruppen,KOG.OL,$8.23 B
ENN Energy,2688.HK,$8.23 B
WillScot,WSC,$8.23 B
AptarGroup,ATR,$8.21 B
SoFi,SOFI,$8.21 B
Kajima,1812.T,$8.20 B
Hochtief,HOT.F,$8.20 B
Lithia Motors,LAD,$8.19 B
Metso,METSO.HE,$8.18 B
Trelleborg AB,TREL-B.ST,$8.18 B
Colgate-Palmolive India,COLPAL.NS,$8.18 B
SAAB AB,SAAB-B.ST,$8.17 B
ASX,ASX.AX,$8.15 B
GarantiBank,GARAN.IS,$8.13 B
GlobalWafers,6488.TWO,$8.12 B
Shimadzu,7701.T,$8.12 B
Sumitomo Metal Mining,5713.T,$8.12 B
SK Telecom,SKM,$8.12 B
Sino Biopharmaceutical,1177.HK,$8.11 B
BorgWarner,BWA,$8.11 B
Edison,EDNR.MI,$8.10 B
Ternium,TX,$8.10 B
Azrieli Group,AZRG.TA,$8.09 B
Adecco Group,ADEN.SW,$8.08 B
Yonyou,600588.SS,$8.07 B
MBME GROUP,MBME.AE,$8.07 B
Unimicron,3037.TW,$8.07 B
Fastighets AB Balder,BALD-B.ST,$8.06 B
China Oilfield Services,2883.HK,$8.06 B
MinebeaMitsumi,6479.T,$8.05 B
Bancolombia,CIB,$8.05 B
TAL Education Group,TAL,$8.05 B
Swiss Prime Site,SPSN.SW,$8.04 B
Yes Bank,YESBANK.NS,$8.03 B
Woodward,WWD,$8.03 B
Dolby,DLB,$8.03 B
Houlihan Lokey,HLI,$8.03 B
ageas,AGS.BR,$8.02 B
Alchip Technologies,3661.TW,$8.02 B
Vår Energi,VAR.OL,$8.01 B
Murphy USA,MUSA,$8.00 B
Simpson Manufacturing Company,SSD,$7.99 B
Sinopharm,1099.HK,$7.99 B
Ocado,OCDO.L,$7.99 B
"YPF
(Yacimientos Petrolíferos Fiscales)",YPF,$7.98 B
Kunlun Energy Company,0135.HK,$7.98 B
Ramsay Health Care,RHC.AX,$7.97 B
Petro Rio,PRIO3.SA,$7.97 B
Allegro.eu,ALE.WA,$7.97 B
BOSCH India,BOSCHLTD.NS,$7.97 B
Entain,ENT.L,$7.96 B
National Instruments,NATI,$7.96 B
Kesko,KESKOA.HE,$7.95 B
Equatorial Energia,EQTL3.SA,$7.95 B
Vail Resorts,MTN,$7.93 B
Indian Hotels Company,INDHOTEL.NS,$7.92 B
NOV,NOV,$7.91 B
Bill.com,BILL,$7.91 B
Washington H. Soul Pattinson and Company (WHSP),SOL.AX,$7.91 B
Sanlam,SLM.JO,$7.90 B
First Horizon National,FHN,$7.89 B
RBC Bearings,RBC,$7.89 B
Info Edge,NAUKRI.NS,$7.89 B
Texas Roadhouse,TXRH,$7.88 B
National Mineral Development Corporation,NMDC.NS,$7.87 B
Aurobindo Pharma,AUROPHARMA.NS,$7.87 B
Shoprite,SHP.JO,$7.86 B
Lear Corporation,LEA,$7.86 B
Auckland Airport,AIA.AX,$7.85 B
Taiwan Cement,1101.TW,$7.85 B
Invesco,IVZ,$7.84 B
Boubyan Bank,BOUBYAN.KW,$7.83 B
Orkla,ORK.OL,$7.82 B
Hulic,3003.T,$7.82 B
CCL Industries,CCL-B.TO,$7.81 B
National Retail Properties,NNN,$7.79 B
Yageo,2327.TW,$7.78 B
Hess Midstream,HESM,$7.78 B
AGC,5201.T,$7.78 B
Royal Gold,RGLD,$7.78 B
Singapore Exchange,S68.SI,$7.77 B
Carsales,CAR.AX,$7.76 B
KT&G (Korea Tobacco),033780.KS,$7.76 B
Jazz Pharmaceuticals,JAZZ,$7.74 B
Idemitsu Kosan,5019.T,$7.74 B
Klépierre,LI.PA,$7.74 B
Sinopac Financial Holdings,2890.TW,$7.72 B
Amplifon,AMP.MI,$7.72 B
Catalent,CTLT,$7.71 B
Informatica,INFA,$7.71 B
Korea Zinc,010130.KS,$7.70 B
Otsuka,4768.T,$7.70 B
Alfamart,AMRT.JK,$7.69 B
PUMA,PUM.DE,$7.69 B
China Resources Gas Group,1193.HK,$7.69 B
DWS Group,DWS.F,$7.68 B
New York Times,NYT,$7.67 B
Acciona,ANA.MC,$7.67 B
Omega Healthcare,OHI,$7.66 B
Donaldson,DCI,$7.66 B
Daito Trust Construction,1878.T,$7.66 B
Telefónica Deutschland (O2),O2D.DE,$7.66 B
Ubiquiti,UI,$7.65 B
Lupin Limited,LUPIN.NS,$7.65 B
Apellis Pharmaceuticals,APLS,$7.64 B
Darling Ingredients,DAR,$7.64 B
Cerevel Therapeutics,CERE,$7.63 B
e.l.f. Cosmetics,ELF,$7.63 B
Graphic Packaging,GPK,$7.63 B
SSAB,SSAB-B.ST,$7.62 B
HYBE,352820.KS,$7.62 B
Choice Properties REIT,CHP-UN.TO,$7.60 B
Tenet Healthcare,THC,$7.60 B
Doosan Enerbility,034020.KS,$7.58 B
Voya Financial,VOYA,$7.58 B
Norwegian Cruise Line,NCLH,$7.58 B
Bid Corp,BID.JO,$7.58 B
Berry Global,BERY,$7.57 B
Alkem Laboratories,ALKEM.NS,$7.57 B
Hankyu Hanshin Holdings,9042.T,$7.55 B
Hongkong Land,H78.SI,$7.54 B
Realtek,2379.TW,$7.52 B
PetGas (Petronas Gas),6033.KL,$7.51 B
SalMar ASA,SALM.OL,$7.51 B
FMC,FMC,$7.51 B
Wacker Chemie,WCH.F,$7.50 B
Dentsply Sirona,XRAY,$7.49 B
Amkor Technology,AMKR,$7.49 B
New Fortress Energy,NFE,$7.48 B
Elisa,ELISA.HE,$7.47 B
CTP N.V.,CTPNV.AS,$7.46 B
Krung Thai Bank,KTB.BK,$7.45 B
Gap Inc.,GPS,$7.44 B
AngloGold Ashanti,AU,$7.42 B
Lotus Bakeries,LOTB.BR,$7.42 B
Nanya Technology,2408.TW,$7.42 B
Middleby,MIDD,$7.41 B
Zoomlion,1157.HK,$7.41 B
Fomento de Construcciones y Contratas,FCC.MC,$7.40 B
Ionis Pharmaceuticals,IONS,$7.40 B
Godrej Properties,GODREJPROP.NS,$7.40 B
IDFC FIRST Bank,IDFCFIRSTB.NS,$7.39 B
Range Resources,RRC,$7.37 B
New York Community Bank,NYCB,$7.36 B
Exelixis,EXEL,$7.36 B
Jabal Omar Development,4250.SR,$7.36 B
Universal Forest Products,UFPI,$7.36 B
Skanska,SKA-B.ST,$7.35 B
DCC plc,DCC.L,$7.35 B
Icahn Enterprises,IEP,$7.34 B
ENGIE Brasil,EGIE3.SA,$7.34 B
KBR,KBR,$7.34 B
Futu Holdings,FUTU,$7.33 B
Helvetia Holding,HELN.SW,$7.32 B
Muthoot Finance,MUTHOOTFIN.NS,$7.32 B
MatsukiyoCocokara,3088.T,$7.32 B
Gentex,GNTX,$7.31 B
Full Truck Alliance,YMM,$7.31 B
Comerica,CMA,$7.30 B
Aramark,ARMK,$7.30 B
Hikari Tsushin,9435.T,$7.30 B
Globus Medical,GMED,$7.29 B
Yunnan Energy New Material,002812.SZ,$7.27 B
Aselsan,ASELS.IS,$7.27 B
Ibiden,4062.T,$7.27 B
APi Group,APG,$7.26 B
Pegatron,4938.TW,$7.25 B
Generac Power Systems,GNRC,$7.25 B
Tokyu,9005.T,$7.25 B
Primerica,PRI,$7.24 B
Cosan,CSAN,$7.24 B
ShockWave Medical,SWAV,$7.23 B
Rohm,6963.T,$7.21 B
Woori Financial Group,WF,$7.21 B
Axalta,AXTA,$7.21 B
Shanghai Commercial and Savings Bank,5876.TW,$7.21 B
LPP SA,LPP.WA,$7.21 B
SK Group,034730.KS,$7.20 B
Delivery Hero,DHER.F,$7.20 B
UnipolSai Assicurazioni,US.MI,$7.18 B
Americana Restaurants International,AMR.AE,$7.17 B
Wingstop Restaurants,WING,$7.17 B
OGE Energy,OGE,$7.17 B
Taishin Financial Holdings,2887.TW,$7.17 B
Southwestern Energy,SWN,$7.15 B
Natera,NTRA,$7.15 B
Liberty Global,LBTYB,$7.14 B
STAG Industrial,STAG,$7.14 B
Dai Nippon Printing,7912.T,$7.14 B
MISC Berhad,3816.KL,$7.14 B
Nippon Building Fund,8951.T,$7.14 B
Want Want China,0151.HK,$7.13 B
FirstService,FSV,$7.13 B
Commercial International Bank,CIN.F,$7.13 B
Daifuku,6383.T,$7.13 B
Acadia Healthcare,ACHC,$7.13 B
SentinelOne,S,$7.12 B
Kinross Gold,KGC,$7.12 B
Toromont,TIH.TO,$7.11 B
Zain (Mobile Telecommunications Company),ZAIN.KW,$7.11 B
Marks & Spencer,MKS.L,$7.11 B
Elanco,ELAN,$7.11 B
Luckin Coffee,LKNCY,$7.09 B
Light & Wonder,LNW,$7.09 B
B&M European Value Retail,BME.L,$7.08 B
Makita,6586.T,$7.08 B
Hindustan Petroleum,HINDPETRO.NS,$7.08 B
Konami Holdings,9766.T,$7.07 B
Mazda,7261.T,$7.07 B
Banco Sabadell,SAB.MC,$7.06 B
MINISO Group,MNSO,$7.06 B
Kingdom Holding,4280.SR,$7.05 B
Bharat Forge,BHARATFORG.NS,$7.05 B
Banca Mediolanum,BMED.MI,$7.05 B
Ascendis Pharma,ASND,$7.05 B
The Lottery Corporation,TLC.AX,$7.05 B
Krafton,259960.KS,$7.05 B
Bâloise,BALN.SW,$7.05 B
CACI,CACI,$7.04 B
Française des Jeux,FDJ.VI,$7.04 B
Global Unichip Corp.,3443.TW,$7.03 B
Comfort Systems,FIX,$7.03 B
Sembcorp,U96.SI,$7.02 B
InPost,INPST.AS,$7.02 B
Stifel,SF,$7.02 B
Indus Towers,INDUSTOWER.NS,$7.01 B
Phillips-Van Heusen,PVH,$7.01 B
Ingredion,INGR,$7.00 B
Trend Micro,4704.T,$7.00 B
Indian Bank,INDIANB.NS,$7.00 B
Barratt Developments,BDEV.L,$6.99 B
iA Financial,IAG.TO,$6.99 B
BWX Technologies,BWXT,$6.98 B
First Industrial Realty Trust,FR,$6.98 B
Patanjali Foods,PATANJALI.NS,$6.97 B
Telecom Italia,TIT.MI,$6.97 B
Stevanato,STVN,$6.96 B
Industrial Bank of Korea (IBK),024110.KS,$6.96 B
SiteOne Landscape Supply,SITE,$6.94 B
GXO Logistics,GXO,$6.94 B
Commerce Bancshares,CBSH,$6.94 B
West Fraser Timber,WFG,$6.94 B
Endeavor Group,EDR,$6.94 B
FTI Consulting,FCN,$6.94 B
Becle,CUERVO.MX,$6.93 B
Spring Airlines,601021.SS,$6.92 B
GEA Group,G1A.F,$6.92 B
Stockland,SGP.AX,$6.92 B
Eagle Materials,EXP,$6.90 B
Castellum,CAST.ST,$6.90 B
Chord Energy,CHRD,$6.90 B
Fertiglobe,FERTIGLB.AE,$6.89 B
Groupe SEB,SK.PA,$6.88 B
Capcom,9697.T,$6.88 B
Descartes Systems,DSGX,$6.88 B
H&R Block,HRB,$6.87 B
Western Alliance Bancorporation,WAL,$6.87 B
Warehouses De Pauw,WDP.BR,$6.86 B
Central Retail Corporation,CRC.BK,$6.86 B
Klaviyo,KVYO,$6.85 B
Japan Post Insurance,7181.T,$6.85 B
Alibaba Health Information Technology,0241.HK,$6.84 B
Yakult,2267.T,$6.84 B
Phoenix Group,PHNX.L,$6.84 B
Oshkosh Corporation,OSK,$6.83 B
Weatherford International,WFRD,$6.82 B
BlueScope Steel,BSL.AX,$6.82 B
Brixmor Property Group,BRX,$6.82 B
PTT Oil and Retail Business,OR.BK,$6.81 B
Onto Innovation,ONTO,$6.81 B
Cathay Pacific,0293.HK,$6.80 B
Cullen/Frost Bankers,CFR,$6.79 B
Kanzhun,BZ,$6.78 B
Qualys,QLYS,$6.78 B
CAE,CAE,$6.78 B
Holmen,HOLM-B.ST,$6.78 B
M&G plc,MNG.L,$6.77 B
Dentsu,4324.T,$6.77 B
Medibank,MPL.AX,$6.76 B
Sampoerna,HMSP.JK,$6.76 B
Rambus,RMBS,$6.75 B
Incannex Healthcare,IXHL,$6.73 B
Noble Corporation,NE,$6.72 B
First Quantum Minerals,FM.TO,$6.72 B
Confluent,CFLT,$6.72 B
Antero Resources,AR,$6.72 B
Canadian Utilities,CU.TO,$6.72 B
Matador Resources,MTDR,$6.71 B
Supreme Industries,SUPREMEIND.NS,$6.71 B
SharkNinja,SN,$6.71 B
Oberoi Realty,OBEROIRLTY.NS,$6.70 B
Madras Rubber Factory,MRF.NS,$6.70 B
Civitas Resources,CIVI,$6.70 B
BellRing Brands,BRBR,$6.70 B
Beijer Ref,BEIJ-B.ST,$6.69 B
Wix.com,WIX,$6.69 B
Container Corporation of India,CONCOR.NS,$6.68 B
Fabrinet,FN,$6.68 B
Intra-Cellular Therapies,ITCI,$6.68 B
General Insurance Corporation of India,GICRE.NS,$6.67 B
HealthSouth,EHC,$6.67 B
Procter & Gamble India,PGHH.NS,$6.67 B
Landstar System,LSTR,$6.66 B
Taylor Wimpey,TW.L,$6.66 B
Land Securities Group,LAND.L,$6.65 B
Tingyi (master kang),0322.HK,$6.65 B
Hasbro,HAS,$6.65 B
Starwood Property Trust,STWD,$6.64 B
Watts Water Technologies,WTS,$6.64 B
Cummins India,CUMMINSIND.NS,$6.63 B
Mapfre,MAP.MC,$6.63 B
Gruma (Maseca),GRUMAB.MX,$6.63 B
Intouch Holdings,INTUCH.BK,$6.62 B
Eurobank Ergasias Services and Holdings,EUROB.AT,$6.62 B
Instacart (Maplebear Inc.),CART,$6.60 B
Crane Co.,CR,$6.60 B
Ryman Hospitality Properties,RHP,$6.58 B
SPS Commerce,SPSC,$6.58 B
Persistent Systems,PERSISTENT.NS,$6.58 B
Cognex,CGNX,$6.58 B
Wyndham Hotels & Resorts,WH,$6.58 B
Prestige Group,PRESTIGE.NS,$6.57 B
TMX Group,X.TO,$6.57 B
Saudi International Petrochemical Company (Sipchem),2310.SR,$6.56 B
BELIMO Holding,BEAN.SW,$6.55 B
Credit Acceptance,CACC,$6.55 B
VF Corporation,VFC,$6.55 B
Sime Darby Plantation,5285.KL,$6.55 B
Raiffeisen Bank International,RAW.F,$6.55 B
TKO Group,TKO,$6.54 B
Murphy Oil,MUR,$6.54 B
ZOZO,3092.T,$6.54 B
Pilgrim's Pride,PPC,$6.53 B
MKS Instruments,MKSI,$6.53 B
China Development Financial,2883.TW,$6.53 B
A2A,A2A.MI,$6.53 B
Ciena,CIEN,$6.52 B
Dali Foods Group,3799.HK,$6.52 B
National Marine Dredging,NMDC.AE,$6.51 B
Israel Chemicals,ICL,$6.51 B
Canadian Tire,CTC.TO,$6.51 B
Kimberly-Clark de México,KIMBERA.MX,$6.51 B
BridgeBio Pharma,BBIO,$6.51 B
Pinnacle Financial Partners,PNFP,$6.50 B
Brunello Cucinelli,BC.MI,$6.50 B
Meiji Holdings,2269.T,$6.50 B
Bank of India,BANKINDIA.NS,$6.49 B
Empire Company,EMP-A.TO,$6.49 B
Grayscale Bitcoin Trust,GBTC,$6.49 B
Mesaieed Petrochemical Holding Company,MPHC.QA,$6.48 B
CCC Intelligent Solutions,CCCS,$6.48 B
Wayfair,W,$6.48 B
Olin,OLN,$6.47 B
Maxis Berhad,6012.KL,$6.47 B
Parsons,PSN,$6.47 B
MSA Safety,MSA,$6.47 B
Tata Elxsi,TATAELXSI.NS,$6.47 B
Applied Industrial Technologies,AIT,$6.47 B
Concentrix,CNXC,$6.46 B
Convatec Group,CTEC.L,$6.45 B
Burberry,BRBY.L,$6.45 B
Whirlpool,WHR,$6.45 B
Ezdan Holding Group,ERES.QA,$6.44 B
Altair Engineering,ALTR,$6.44 B
OTE Group,OTE.F,$6.44 B
Mattel,MAT,$6.44 B
MOL Group,MOL.BD,$6.44 B
Sasa Polyester,SASA.IS,$6.44 B
Yang Ming,2609.TW,$6.44 B
Healthcare Realty,HR,$6.44 B
CTS Eventim,EVD.F,$6.43 B
National Bank of Greece,ETE.AT,$6.43 B
Korean Air Lines,003495.KS,$6.42 B
SAIC,SAIC,$6.42 B
The Ensign Group,ENSG,$6.42 B
Rémy Cointreau,RCO.PA,$6.41 B
KT Corporation,KT,$6.41 B
AU Small Finance Bank,AUBANK.NS,$6.40 B
LEG Immobilien,LEG.DE,$6.40 B
ENKA,ENKAI.IS,$6.40 B
Freshworks,FRSH,$6.39 B
Mohawk Industries,MHK,$6.37 B
Temenos,TEMN.SW,$6.37 B
Arrow Electronics,ARW,$6.36 B
OPAP (Organization of Football Prognostics),OPAP.AT,$6.36 B
Element Fleet Management,EFN.TO,$6.36 B
Umicore,UMI.VI,$6.35 B
Ashok Leyland,ASHOKLEY.NS,$6.34 B
Li Ning Company,2331.HK,$6.34 B
Sasol,SSL,$6.34 B
Akbank,AKBNK.IS,$6.34 B
First American,FAF,$6.33 B
Zions Bancorporation,ZION,$6.33 B
Acuity Brands,AYI,$6.33 B
Masraf Al Rayan,MARK.QA,$6.33 B
Great Eastern,G07.SI,$6.33 B
Zurich Airport,FHZN.SW,$6.32 B
Suzlon,SUZLON.NS,$6.32 B
Hapvida,HAPV3.SA,$6.31 B
AGNC Investment,AGNC,$6.31 B
Yamato Holdings,9064.T,$6.31 B
Agree Realty,ADC,$6.30 B
The Commercial Bank (P.S.Q.C.),CBQK.QA,$6.30 B
Kobe Bussan,3038.T,$6.29 B
TPG Telecom,TPG.AX,$6.28 B
Israel Discount Bank,ISDAY,$6.28 B
South State Corp,SSB,$6.28 B
Planet Fitness,PLNT,$6.28 B
Soitec,SOI.PA,$6.26 B
PI Industries,PIIND.NS,$6.26 B
Colas,RE.PA,$6.26 B
Mapletree Logistics Trust,M44U.SI,$6.25 B
Obayashi,1802.T,$6.25 B
PSP Swiss Property,PSPN.SW,$6.25 B
Lundin Mining,LUN.TO,$6.24 B
Intermediate Capital Group (ICG),ICP.L,$6.24 B
Fluor Corporation,FLR,$6.23 B
Mouwasat Medical Services Company,4002.SR,$6.23 B
Orion Corporation,ORNAV.HE,$6.23 B
Spirit Realty Capital,SRC,$6.21 B
The Weir Group,WEIR.L,$6.21 B
Prosperity Bancshares,PB,$6.20 B
Littelfuse,LFUS,$6.20 B
Hamamatsu,6965.T,$6.20 B
Chongqing Rural Commercial Bank,3618.HK,$6.20 B
Genpact,G,$6.20 B
Evercore,EVR,$6.19 B
Levi Strauss,LEVI,$6.19 B
Seek Limited,SEK.AX,$6.19 B
RLI Corp.,RLI,$6.19 B
AltaGas,ALA.TO,$6.19 B
Chang Hwa Commercial Bank,2801.TW,$6.18 B
Airtel Africa,AAF.L,$6.17 B
Komerční banka,KOMB.PR,$6.17 B
New Relic,NEWR,$6.17 B
SBI Holdings,8473.T,$6.16 B
IGM Financial,IGM.TO,$6.16 B
Falabella,FALABELLA.SN,$6.15 B
Schibsted,SCHA.OL,$6.15 B
OCI,OCI.AS,$6.14 B
Selective Insurance,SIGI,$6.14 B
Global-e,GLBE,$6.13 B
LATAM Airlines,LTM.SN,$6.13 B
Savola Group,2050.SR,$6.13 B
Diploma plc,DPLM.L,$6.13 B
Investec,INVR.L,$6.13 B
Rockwool,ROCK-B.CO,$6.13 B
GMR Group,GMRINFRA.NS,$6.13 B
Sekisui Chemical,4204.T,$6.12 B
SCSK Corporation,9719.T,$6.12 B
Qantas Airways,QAN.AX,$6.11 B
Brunswick Corporation,BC,$6.10 B
S-OIL,010950.KS,$6.10 B
Meritage Homes,MTH,$6.10 B
AirTAC International,1590.TW,$6.09 B
10x Genomics,TXG,$6.08 B
Vicinity Centres,VCX.AX,$6.08 B
Copel,ELP,$6.07 B
Dillard's,DDS,$6.07 B
Amorepacific,090430.KS,$6.07 B
BİM Birleşik Mağazalar,BIMAS.IS,$6.06 B
Canadian Apartment Properties REIT,CAR-UN.TO,$6.06 B
GoTo,GOTO.JK,$6.06 B
Q Holding,QHOLDING.AE,$6.06 B
AutoNation,AN,$6.06 B
RTL Group,RRTL.F,$6.05 B
Worley,WOR.AX,$6.05 B
Avis Budget Group,CAR,$6.05 B
Smartsheet,SMAR,$6.04 B
Bankinter,BKT.MC,$6.02 B
Abbott India,ABBOTINDIA.NS,$6.02 B
Boyd Gaming,BYD,$6.01 B
MACOM,MTSI,$6.01 B
Vaxcyte,PCVX,$6.01 B
United Breweries,UBL.NS,$6.01 B
Bechtle,BC8.F,$6.00 B
Nestle Malaysia,4707.KL,$6.00 B
Mapletree Commercial Trust,N2IU.SI,$6.00 B
Hexcel,HXL,$5.99 B
Getinge,GETI-B.ST,$5.98 B
Clarivate,CLVT,$5.98 B
Astral Poly Technik,ASTRAL.NS,$5.98 B
Emperador Brandy,EMI.SI,$5.97 B
Aaon,AAON,$5.97 B
ADT,ADT,$5.97 B
Adani Wilmar,AWL.NS,$5.96 B
Antero Midstream,AM,$5.96 B
Hang Lung Properties,0101.HK,$5.95 B
Jindal Stainless,JSL.NS,$5.95 B
AppFolio,APPF,$5.94 B
37 Interactive Entertainment,002555.SZ,$5.94 B
Frontier Communications,FYBR,$5.94 B
Kintetsu GHD,9041.T,$5.94 B
HealthEquity,HQY,$5.93 B
Rightmove,RMV.L,$5.92 B
Hamilton Lane,HLNE,$5.91 B
DoubleVerify,DV,$5.91 B
Spark New Zealand,NZTCF,$5.90 B
Axfood,AXFO.ST,$5.90 B
Ultrapar Participacoes,UGP,$5.90 B
Mphasis,MPHASIS.NS,$5.89 B
Steel Authority of India,SAIL.NS,$5.89 B
Eurazeo,RF.PA,$5.88 B
Addtech AB,ADDT-B.ST,$5.87 B
Toho Co.,9602.T,$5.87 B
Ampol,ALD.AX,$5.86 B
Emmi AG,EMMN.SW,$5.86 B
KGHM Polska Miedź,KGH.WA,$5.86 B
Torrent Power,TORNTPOWER.NS,$5.86 B
Yanbu National Petrochemical,2290.SR,$5.86 B
Andritz,AZ2.F,$5.85 B
DSME (Daewoo Shipbuilding),042660.KS,$5.85 B
Schaeffler India,SCHAEFFLER.NS,$5.85 B
TriNet,TNET,$5.85 B
Thor Industries,THO,$5.85 B
Mercury NZ,MCY.AX,$5.84 B
FS KKR Capital,FSK,$5.83 B
Kunlun Tech,300418.SZ,$5.83 B
Nykaa,NYKAA.NS,$5.83 B
Zalando,ZAL.DE,$5.83 B
ESR,1821.HK,$5.83 B
Tele2,TEL2-A.ST,$5.83 B
New Hope Liuhe,000876.SZ,$5.82 B
EVA Air,2618.TW,$5.82 B
Azelis Group,AZE.BR,$5.82 B
Capri Holdings,CPRI,$5.81 B
Ackermans & Van Haaren,ACKB.BR,$5.81 B
Masimo,MASI,$5.81 B
Balkrishna Industries,BALKRISIND.NS,$5.80 B
Shift4 Payments,FOUR,$5.80 B
ALD Automotive,ALD.PA,$5.80 B
Seatrium,S51.SI,$5.80 B
GPT Group,GPT.AX,$5.79 B
China State Construction International,3311.HK,$5.79 B
Unite Group (Unite Students),UTG.L,$5.78 B
Zhuzhou CRRC Times Electric,3898.HK,$5.78 B
OneMain Financial,OMF,$5.77 B
