company,code,market_cap
CNOOC,0883.HK,$85.39 B
Boston Scientific,BSX,$85.31 B
ICICI Bank,IBN,$83.43 B
Canadian National Railway,CNI,$81.77 B
Iberdrola,IBE.MC,$81.35 B
China Yangtze Power,600900.SS,$81.35 B
GlaxoSmithKline,GSK,$80.42 B
Diageo,DEO,$80.30 B
BNP Paribas,BNP.PA,$80.29 B
Fiserv,FI,$79.85 B
ABB,ABBN.SW,$79.06 B
Shin-Etsu Chemical,4063.T,$79.04 B
Southern Company,SO,$78.73 B
Atlas Copco,ATCO-B.ST,$78.51 B
Illinois Tool Works,ITW,$78.45 B
BYD,002594.SZ,$78.25 B
Enbridge,ENB,$77.86 B
Compagnie Financière Richemont,CFR.SW,$77.76 B
Porsche,P911.DE,$77.59 B
MercadoLibre,MELI,$77.11 B
Tokyo Electron,8035.T,$76.84 B
Duke Energy,DUK,$76.20 B
Enel,ENEL.MI,$76.03 B
Sherwin-Williams,SHW,$75.91 B
Zurich Insurance Group,ZURN.SW,$75.52 B
Bank Central Asia,BBCA.JK,$75.43 B
Schlumberger,SLB,$74.70 B
KLA,KLAC,$74.69 B
RELX,RELX,$74.68 B
Synopsys,SNPS,$74.66 B
LG Energy Solution,373220.KS,$74.61 B
Infosys,INFY,$74.56 B
Canadian Pacific Railway,CP,$74.41 B
Equinix,EQIX,$74.41 B
Bharti Airtel,BHARTIARTL.NS,$73.88 B
AXA,CS.PA,$73.81 B
Walmex,WMMVF,$73.64 B
Altria Group,MO,$73.62 B
SK Hynix,000660.KS,$73.51 B
HCA Healthcare,HCA,$73.37 B
Glencore,GLCNF,$73.29 B
Fast Retailing,9983.T,$73.27 B
CME Group,CME,$73.22 B
Hindustan Unilever,HINDUNILVR.NS,$73.22 B
Mercedes-Benz,MBG.DE,$73.07 B
Safran,SAF.PA,$73.04 B
Canadian Natural Resources,CNQ,$72.83 B
BMW,BMW.DE,$72.64 B
Northrop Grumman,NOC,$72.57 B
Waste Management,WM,$72.39 B
Intercontinental Exchange,ICE,$72.29 B
Vinci,DG.PA,$72.13 B
Arista Networks,ANET,$72.02 B
Wuliangye Yibin,000858.SZ,$71.74 B
ITC,ITC.NS,$71.44 B
KKR & Co.,KKR,$71.30 B
EOG Resources,EOG,$70.90 B
General Dynamics,GD,$70.57 B
Bank of Montreal,BMO,$70.40 B
Becton Dickinson,BDX,$70.23 B
Workday,WDAY,$70.14 B
Investor AB,INVE-B.ST,$70.10 B
Cadence Design Systems,CDNS,$69.90 B
Arm Holdings,ARM,$69.81 B
State Bank of India,SBIN.NS,$68.95 B
CSX Corporation,CSX,$68.85 B
Moody's,MCO,$68.74 B
Merck KGaA,MRK.DE,$68.26 B
The Saudi National Bank,1180.SR,$67.79 B
U.S. Bancorp,USB,$67.67 B
British American Tobacco,BTI,$67.67 B
Stellantis,STLA,$67.46 B
Santander,SAN,$67.34 B
Vale,VALE,$67.34 B
Colgate-Palmolive,CL,$66.26 B
Thomson Reuters,TRI,$66.21 B
Mitsubishi Corporation,8058.T,$65.89 B
KDDI,9433.T,$65.80 B
Itaú Unibanco,ITUB,$65.73 B
Siemens Healthineers,SHL.DE,$65.46 B
Hitachi,6501.T,$65.17 B
ADNOC Gas,ADNOCGAS.AE,$64.99 B
China Telecom,0728.HK,$64.85 B
Sumitomo Mitsui Financial Group,SMFG,$64.82 B
Marriott International,MAR,$64.76 B
Target,TGT,$64.72 B
Southern Copper,SCCO,$64.60 B
SABIC,2010.SR,$64.51 B
McKesson,MCK,$63.98 B
Dassault Systèmes,DSY.PA,$63.82 B
National Australia Bank,NAB.AX,$63.80 B
London Stock Exchange,LSEG.L,$63.63 B
DBS Group,D05.SI,$63.53 B
Life Insurance Corporation of India (LIC),LICI.NS,$63.50 B
Volkswagen,VOW3.DE,$63.41 B
PayPal,PYPL,$63.11 B
lululemon athletica,LULU,$62.83 B
Recruit,6098.T,$62.41 B
Meituan,3690.HK,$61.96 B
Ferrari,RACE,$61.76 B
NetEase,NTES,$61.74 B
Nongfu Spring,9633.HK,$61.72 B
FedEx,FDX,$61.60 B
SoftBank,9984.T,$61.31 B
PNC Financial Services,PNC,$61.21 B
Chugai Pharmaceutical,4519.T,$61.17 B
Chipotle Mexican Grill,CMG,$61.14 B
Snowflake,SNOW,$60.92 B
Housing Development Finance Corporation,HDFC.NS,$60.80 B
Monster Beverage,MNST,$60.62 B
Air Products and Chemicals,APD,$60.32 B
3M,MMM,$59.92 B
Fortescue,FMG.AX,$59.78 B
Phillips 66,PSX,$59.63 B
Brookfield Corporation,BN,$59.62 B
Marathon Petroleum,MPC,$59.59 B
Cintas,CTAS,$59.35 B
Freeport-McMoRan,FCX,$59.02 B
CrowdStrike,CRWD,$59.01 B
Parker-Hannifin,PH,$58.82 B
Aon,AON,$58.60 B
Itōchū Shōji,8001.T,$58.42 B
Oriental Land,4661.T,$58.36 B
Enterprise Products,EPD,$58.26 B
Nintendo,7974.T,$57.97 B
Postal Savings Bank of China,601658.SS,$57.90 B
Humana,HUM,$57.78 B
Heineken,HEIA.AS,$57.70 B
DHL Group (Deutsche Post),DHL.DE,$57.68 B
America Movil,AMX,$57.51 B
Scotiabank,BNS,$57.47 B
Munich RE (Münchener Rück),MUV2.DE,$57.29 B
Bajaj Finance,BAJFINANCE.NS,$57.19 B
Larsen & Toubro,LT.NS,$57.14 B
Alimentation Couche-Tard,ATD.TO,$57.04 B
Amphenol,APH,$56.84 B
Atlassian,TEAM,$56.68 B
Mitsui Bussan,8031.T,$56.49 B
Roper Technologies,ROP,$56.16 B
