company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
Business-intelligence of Oriental Nations Corp. Ltd.,27.1,SHE:300166,,,,,
"Butterfly Network, Inc.",32.5,NYS:BFLY,,,,,
Buzzi SpA,29.2,MIL:BZU,,,,,
BW Energy Ltd.,43.7,OSL:BWE,,,,,
BW LPG Ltd.,15.2,OSL:BWLPG,,,,,
BW Offshore Ltd.,18.6,OSL:BWO,,,,,
BWP Trust,14.2,ASX:BWP,,,,,
"BWX Technologies, Inc.",36.1,NYS:BWXT,,,,,
"By-health Co., Ltd.",38.5,SHE:300146,,,,,
"BYD Co., Ltd.",26.8,HKG:1211,,,,,
"BYD Electronic (International) Co., Ltd.",23.5,HKG:285,,,,,
BYGGFAKTA GROUP Nordic HoldCo AB,21.7,OME:BFG,,,,,
Byggmax Group AB,13.0,OME:BMAX,,,,,
"Byline Bancorp, Inc.",28.9,NYS:BY,,,,,
Bystronic AG,26.5,SWX:BYS,,,Bystronic AG,BYS.SW,$1.14 B
Bytes Technology Group Plc,17.1,LON:BYIT,,,,,
C-MER Eye Care Holdings Ltd.,25.3,HKG:3309,,,,,
C-RAD AB,32.0,OME:CRAD.B,,,,,
"C. Uyemura & Co., Ltd.",37.5,TKS:4966,,,,,
C.E. Info Systems Ltd.,40.3,BOM:543425,,,,,
"C.H. Robinson Worldwide, Inc.",18.3,NAS:CHRW,,,,,
C.I. Takiron Corp.,30.0,TKS:4215,,,,,
"C.Q. Pharmaceutical Holding Co., Ltd.",35.2,SHE:000950,,,,,
C&C Group Plc,27.5,LON:CCR,,,,,
C&D International Investment Group Ltd.,25.8,HKG:1908,,,,,
"C&D Property Management Group Co., Ltd.",18.0,HKG:2156,,,,,
"C&S Paper Co., Ltd.",32.2,SHE:002511,,,,,
"C3.ai, Inc.",21.6,NYS:AI,,,,,
"C4 Therapeutics, Inc.",25.2,NAS:CCCC,,,,,
CA Auto Bank SpA,17.1,-,,,,,
CA Immobilien Anlagen AG,9.6,WBO:CAI,,,,,
"Cable One, Inc.",16.7,NYS:CABO,,,,,
Cabot Corp.,25.6,NYS:CBT,,,,,
CAC Holdings Corp.,25.9,TKS:4725,,,,,
"CACI International, Inc.",16.9,NYS:CACI,,,,,
"Cactus, Inc.",26.7,NYS:WHD,,,,,
Cadeler A/S,46.7,OSL:CADLR,,,,,
Cadence Bank,30.6,NYS:CADE,,,,,
"Cadence Design Systems, Inc.",12.0,NAS:CDNS,,,,,
Cadent Gas Ltd.,14.0,-,,,,,
"Cadiz, Inc.",39.1,NAS:CDZI,,,,,
"Cadre Holdings, Inc.",42.3,NYS:CDRE,,,,,
"CAE, Inc.",25.5,TSE:CAE,,,,,
"Caesars Entertainment, Inc.",21.9,NAS:CZR,,,,,
Caesarstone Ltd.,22.1,NAS:CSTE,,,,,
Café de Coral Holdings Ltd.,24.6,HKG:341,,,,,
Cafe24 Corp.,28.6,KRX:042000,,,,,
Cahya Mata Sarawak Bhd.,36.1,KLS:2852,,,,,
"Caida Securities Co., Ltd.",34.6,SHG:600906,,,,,
Cairn Homes Plc,15.1,DUB:C5H,,,,,
Cairo For Investment & Real Estate Developments CIRA Education,18.5,CAI:CIRA,,,,,
Caisse Centrale du Crédit Immobilier de France SA,34.6,-,,,,,
Caisse d'Amortissement de la Dette Sociale,19.9,-,,,,,
Caisse des Dépôts & Consignations,7.8,-,,,,,
Caisse Nationale des Autoroutes,20.6,-,,,,,
"Caitong Securities Co., Ltd.",30.3,SHG:601108,,,,,
Caixa Central-Caixa Central de Crédito Agrícola Mútuo CRL,20.0,-,,,,,
Caixa Económica Montepio Geral Caixa Económica Bancária SA,29.7,-,,,,,
Caixa Geral de Depósitos SA,20.2,-,,,,,
Caixa Seguridade Participaçoes SA,27.0,BSP:CXSE3,,,,,
CaixaBank SA,16.1,MCE:CABK,,,,,
Caja Rural de Navarra SCC,9.8,-,,,,,
"Cal-Maine Foods, Inc.",42.1,NAS:CALM,,,,,
"Calavo Growers, Inc.",33.9,NAS:CVGW,,,,,
"CALBEE, Inc.",34.0,TKS:2229,,,,,
"Caleres, Inc.",17.2,NYS:CAL,,,,,
Calian Group Ltd.,19.7,TSE:CGY,,,,,
Calibre Mining Corp.,39.8,TSE:CXB,,,,,
Calida Holding AG,14.6,SWX:CALN,,,,,
California Institute of Technology,14.7,-,,,,,
California Resources Corp.,37.1,NYS:CRC,,,,,
California Water Service Group,29.4,NYS:CWT,,,,,
Calix Ltd.,39.7,ASX:CXL,,,,,
"Calix, Inc.",15.5,NYS:CALX,,,,,
Calliditas Therapeutics AB,33.3,OME:CALTX,,,,,
Callon Petroleum Co.,39.6,NYS:CPE,,,,,
Calpine Corp.,37.5,-,,,,,
Calumet Specialty Products Partners LP,47.2,NAS:CLMT,,,,,
Cambium Networks Corp.,19.1,NAS:CMBM,,,,,
Cambridge Bancorp,32.7,NAS:CATC,,,Cambridge Bancorp,CATC,$0.53 B
Cambridgeshire Housing Capital Plc,18.3,-,,,,,
Camden National Corp. (Maine),25.4,NAS:CAC,,,,,
Camden Property Trust,16.1,NYS:CPT,,,Camden Property Trust,CPT,$10.46 B
Cameco Corp.,31.6,TSE:CCO,,,,,
Camel Group Co. Ltd.,27.4,SHG:601311,,,,,
Cameron LNG LLC,19.7,-,,,,,
Camil Alimentos SA,35.0,BSP:CAML3,,,,,
Campbell Soup Co.,23.5,NYS:CPB,,,,,
"Camping World Holdings, Inc.",14.9,NYS:CWH,,,,,
Campus Activewear Ltd.,20.9,BOM:543523,,,,,
Camtek Ltd.,21.0,NAS:CAMT,,,,,
Camurus AB,23.7,OME:CAMX,,,,,
Can Fin Homes Ltd.,30.5,BOM:511196,,,,,
Can-Pack SA,20.0,-,,,,,
Çan2 Termik AS,50.6,IST:CANTE.E,,,,,
"Canaan, Inc.",40.7,NAS:CAN,,,,,
"Canaccord Genuity Group, Inc.",29.2,TSE:CF,,,,,
Canacol Energy Ltd.,23.7,TSE:CNE,,,,,
"Canada Goose Holdings, Inc.",16.2,TSE:GOOS,,,,,
Canada Mortgage & Housing Corp.,22.7,-,,,,,
Canada Post Corp.,15.9,-,,,,,
Canadian Apartment Properties Real Estate Investment Trust,14.0,TSE:CAR.UT,,,,,
Canadian Broadcasting Corp.,14.7,-,,,,,
Canadian Core Real Estate LP,16.9,-,,,,,
Canadian Imperial Bank of Commerce,15.5,TSE:CM,,,,,
Canadian National Railway Co.,14.0,TSE:CNR,,,,,
Canadian Natural Resources Ltd.,30.2,TSE:CNQ,,,,,
Canadian Pacific Kansas City Ltd.,21.8,TSE:CP,,,,,
Canadian Pacific Railway Co.,27.8,-,,,,,
Canadian Pacific Railway Ltd.,17.8,-,,,,,
"Canadian Solar, Inc.",37.0,NAS:CSIQ,,,,,
Canadian Tire Corp. Ltd.,17.5,TSE:CTC.A,,,,,
Canadian Utilities Ltd.,25.3,TSE:CU,,,,,
Canadian Western Bank,20.3,TSE:CWB,,,Canadian Western Bank,CWB.TO,$2.16 B
Canal de Isabel II SA,26.4,-,,,,,
Canara Bank,31.6,BOM:532483,,,Canara Bank,CANBK.NS,$10.14 B
"Canariabio, Inc. (016790)",49.6,KRX:016790,,,,,
Canary Wharf Group Plc,16.5,-,,,,,
CANCOM SE,14.8,ETR:COK,,,,,
Canfor Corp.,22.7,TSE:CFP,,,,,
"Cangzhou Mingzhu Plastic Co., Ltd.",30.3,SHE:002108,,,,,
"Canmax Technologies Co., Ltd.",33.0,SHE:300390,,,,,
"Cannae Holdings, Inc.",10.5,NYS:CNNE,,,,,
"Cano Health, Inc.",31.4,NYS:CANO,,,,,
"Canon Electronics, Inc.",20.8,TKS:7739,,,,,
"Canon Marketing Japan, Inc.",11.5,TKS:8060,,,,,
"Canon, Inc.",17.7,TKS:7751,,,,,
"Canoo, Inc.",24.2,NAS:GOEV,,,,,
Canopy Growth Corp.,35.1,TSE:WEED,,,,,
"CanSino Biologics, Inc.",35.3,HKG:6185,,,,,
"Cantaloupe, Inc.",24.1,NAS:CTLP,,,,,
Cantargia AB,35.1,OME:CANTA,,,,,
Canvest Environmental Protection Group Co. Ltd.,19.8,HKG:1381,,,,,
CAP SA,29.3,SGO:CAP,,,,,
"Capcom Co., Ltd.",20.5,TKS:9697,,,,,
Capex SA,56.8,BUE:CAPX,,,,,
Capgemini SE,10.7,PAR:CAP,,,,,
Capita Plc,18.9,LON:CPI,,,,,
Capital & Counties Properties Plc,14.9,-,,,,,
Capital & Regional Plc,20.1,LON:CAL,,,,,
Capital A Bhd.,34.1,KLS:5099,,,,,
"Capital Bancorp, Inc. (Maryland)",32.5,NAS:CBNK,,,,,
"Capital City Bank Group, Inc.",29.5,NAS:CCBG,,,,,
Capital City Link General Partnership,45.7,-,,,,,
Capital Ltd.,42.0,LON:CAPD,,,,,
Capital One Financial Corp.,22.5,NYS:COF,,,,,
Capital Power Corp.,31.8,TSE:CPX,,,,,
Capital Securities Corp.,26.4,TAI:6005,,,,,
CapitaLand Ascendas REIT,13.2,SES:A17U,,,,,
CapitaLand Ascott Trust,9.9,SES:HMN,,,CapitaLand Ascott Trust,HMN.SI,$2.76 B
CapitaLand China Trust,8.9,SES:AU8U,,,,,
CapitaLand India Trust,12.6,SES:CY6U,,,,,
CapitaLand Integrated Commercial Trust,11.0,SES:C38U,,,,,
CapitaLand Investment Ltd.,13.1,SES:9CI,,,,,
Capitec Bank Holdings Ltd.,22.8,JSE:CPI,,,,,
"Capitol Federal Financial, Inc.",31.3,NAS:CFFN,,,,,
Caplin Point Laboratories Ltd.,33.6,BOM:524742,,,,,
Capri Global Capital Ltd.,24.9,BOM:531595,,,,,
Capri Holdings Ltd.,16.7,NYS:CPRI,,,,,
Capricorn Energy Plc,34.7,LON:CNE,,,,,
Capricorn Metals Ltd.,58.7,ASX:CMM,,,,,
"CapStar Financial Holdings, Inc.",28.6,NAS:CSTR,,,,,
CAR Group Limited Unsponsored ADR,20.8,ASX:CAR,,,,,
"CARA Therapeutics, Inc.",27.9,NAS:CARA,,,,,
Carabao Group Public Co. Ltd.,35.1,BKK:CBG,,,,,
Carasso Motors Ltd.,30.3,TAE:CRSM,,,,,
Carborundum Universal Ltd.,23.5,BOM:513375,,,,,
Card Factory Plc,18.7,LON:CARD,,,,,
Cardinal Energy Ltd.,47.4,TSE:CJ,,,,,
"Cardinal Health, Inc.",14.9,NYS:CAH,,,,,
"Cardiovascular Systems, Inc.",27.3,-,,,,,
"Cardlytics, Inc.",29.3,NAS:CDLX,,,,,
Care Property Invest,16.1,BRU:CPINV,,,,,
CARE Ratings Ltd.,24.7,BOM:534804,,,,,
"CareDx, Inc.",27.1,NAS:CDNA,,,,,
"Career Technology (MFG.) Co., Ltd.",26.3,TAI:6153,,,,,
"Caregen Co., Ltd.",32.1,KRX:214370,,,,,
Carel Industries SpA,17.0,MIL:CRL,,,,,
"CareMax, Inc.",33.3,NAS:CMAX,,,,,
Carestone Group GmbH,15.1,-,,,,,
"CareTrust REIT, Inc.",14.6,NYS:CTRE,,,,,
"Cargill, Inc.",29.0,-,,,,,
"Cargojet, Inc.",27.1,TSE:CJT,,,,,
Cargotec Oyj,22.0,HEL:CGCBV,,,,,
"Cargurus, Inc.",19.3,NAS:CARG,,,,,
"Caribou Biosciences, Inc.",28.0,NAS:CRBU,,,,,
Carl Zeiss Meditec AG,29.8,ETR:AFX,,,,,
Carleton University,17.8,-,,,,,
"Carlisle Cos., Inc.",22.2,NYS:CSL,,,,,
Carlsberg A/S,22.0,CSE:CARL.B,,,,,
Carlsberg Brewery Malaysia Bhd.,15.5,KLS:2836,,,,,
"CarMax, Inc.",12.1,NYS:KMX,,,,,
Carmila SA,12.8,PAR:CARM,,,,,
Carnarvon Energy Ltd.,48.5,ASX:CVN,,,,,
Carnival Corp.,24.5,NYS:CCL,,,,,
"CarParts.com, Inc.",24.1,NAS:PRTS,,,,,
Carpenter Technology Corp.,34.8,NYS:CRS,,,,,
Carrefour SA,20.1,PAR:CA,,,,,
"Carriage Services, Inc.",19.2,NYS:CSV,,,,,
Carrier Global Corp.,20.3,NYS:CARR,,,,,
"Carrols Restaurant Group, Inc.",30.3,NAS:TAST,,,,,
"Cars.com, Inc.",21.4,NYS:CARS,,,,,
CARsgen Therapeutics Holdings Ltd.,27.3,HKG:2171,,,,,
"Carta Holdings, Inc.",25.6,TKS:3688,,,,,
"Carter Bankshares, Inc.",33.6,NAS:CARE,,,,,
"Carter's, Inc.",13.5,NYS:CRI,,,,,
CarTrade Tech Ltd.,26.4,BOM:543333,,,,,
Carvana Co.,14.2,NYS:CVNA,,,,,
CAS Capital No. 1 Ltd,36.0,-,,,,,
"Casa Systems, Inc.",24.7,NAS:CASA,,,,,
"Cascades, Inc.",21.4,TSE:CAS,,,,,
"Casella Waste Systems, Inc.",22.2,NAS:CWST,,,,,
"Casey's General Stores, Inc.",30.8,NAS:CASY,,,,,
Cashbuild Ltd.,17.7,JSE:CSB,,,,,
"Casino, Guichard-Perrachon SA",21.0,PAR:CO,,,,,
"Casio Computer Co., Ltd.",19.4,TKS:6952,,,,,
"Cass Information Systems, Inc.",18.7,NAS:CASS,,,,,
Cassa Depositi e Prestiti SpA,13.8,-,,,,,
"Cassava Sciences, Inc.",35.8,NAS:SAVA,,,,,
Castellum AB,9.8,OME:CAST,,,,,
"Castle Biosciences, Inc.",22.5,NAS:CSTL,,,,,
Castrol India Ltd.,22.4,BOM:500870,,,,,
"Catalent, Inc.",22.5,NYS:CTLT,,,,,
"Catalyst Pharmaceuticals, Inc.",18.2,NAS:CPRX,,,,,
"Catcher Technology Co., Ltd.",18.0,TAI:2474,,,,,
Catella AB,32.4,OME:CAT.B,,,,,
Catena AB,15.5,OME:CATE,,,,,
Catena Media plc,23.7,OME:CTM,,,,,
"Caterpillar, Inc.",36.3,NYS:CAT,,,,,
"Cathay Financial Holdings Co., Ltd.",12.1,TAI:2882,,,,,
Cathay General Bancorp,31.1,NAS:CATY,,,Cathay General Bancorp,CATY,$3.15 B
Cathay Pacific Airways Ltd.,31.1,HKG:293,,,,,
"Cathay Real Estate Development Co., Ltd.",16.0,TAI:2501,,,,,
"Cavco Industries, Inc.",21.5,NAS:CVCO,,,,,
Caverion Oyj,14.4,HEL:CAV1V,,,,,
Cavotec SA,30.6,OME:CCC,,,,,
Cawachi Ltd.,22.2,TKS:2664,,,,,
"CBIZ, Inc.",20.5,NYS:CBZ,,,,,
"CBL & Associates Properties, Inc.",17.8,NYS:CBL,,,,,
"Cboe Global Markets, Inc.",20.9,BATS:CBOE,,,,,
cBrain A/S,18.2,CSE:CBRAIN,,,,,
"CBRE Group, Inc.",8.3,NYS:CBRE,,,,,
"CBRE Services, Inc.",16.9,-,,,,,
"CCC Intelligent Solutions Holdings, Inc.",20.4,NAS:CCCS,,,,,
CCC SA,16.0,WAR:CCC,,,,,
"CCL Industries, Inc.",19.7,TSE:CCL.B,,,,,
CCL Products (India) Ltd.,37.1,BOM:519600,,,,,
CCR SA,11.6,BSP:CCRO3,,,,,
CCS Abwicklungs AG,19.0,FRA:C0M,,,,,
CD Projekt SA,15.9,WAR:CDR,,,,,
CDB Aviation Lease Finance DAC,15.6,-,,,,,
CDL Hospitality Trusts,15.3,SES:J85,,,,,
CDP Reti SpA,10.8,-,,,,,
CDW Corp.,9.0,NAS:CDW,,,,,
CE Sebastopol LP,45.7,-,,,,,
CEAT Ltd.,20.7,BOM:500878,,,,,
"Cebu Air, Inc.",33.4,PHS:CEB,,,,,
"CECEP Solar Energy Co., Ltd.",29.8,SHE:000591,,,,,
CECEP Wind-Power Corp.,28.5,SHG:601016,,,,,
CECO Environmental Corp.,23.8,NAS:CECO,,,,,
CECONOMY AG,15.8,ETR:CEC,,,,,
Cedar Fair LP,36.9,NYS:FUN,,,,,
Cedar Woods Properties Ltd.,18.3,ASX:CWP,,,,,
Cegedim SA,21.8,PAR:CGM,,,,,
Celanese Corp.,26.1,NYS:CE,,,,,
CelcomDigi Bhd.,25.2,KLS:6947,,,,,
Çelebi Hava Servisi AS,23.8,IST:CLEBI.E,,,,,
Celeo Redes Operacion Chile SA,34.0,-,,,,,
"Celestica, Inc.",10.4,TSE:CLS,,,,,
CellaVision AB,14.8,OME:CEVI,,,,,
Cellcom Israel Ltd.,39.0,TAE:CEL,,,,,
"Celldex Therapeutics, Inc.",26.7,NAS:CLDX,,,,,
"Cellivery Therapeutics, Inc.",34.2,KRX:268600,,,,,
Cellnex Telecom SA,11.4,MCE:CLNX,,,,,
"CellSource Co., Ltd.",24.4,TKS:4880,,,,,
"Celltrion Healthcare Co., Ltd.",18.6,KRX:091990,,,,,
Celltrion Pharm Inc.,42.3,KRX:068760,,,,,
"Celltrion, Inc.",29.8,KRX:068270,,,,,
"Celsius Holdings, Inc.",38.8,NAS:CELH,,,,,
"Celularity, Inc.",23.3,NAS:CELU,,,,,
Celulosa Arauco y Constitución SA,23.9,-,,,,,
Cembra Money Bank AG,16.1,SWX:CMBN,,,,,
Cementir Holding NV,29.2,MIL:CEM,,,,,
Cementos Argos SA,28.3,BOG:CEMARGOS,,,,,
CEMEX SAB de CV,27.3,MEX:CEMEXCPO,,,,,
Cemig Geração e Transmissão SA,33.1,-,,,,,
"Cencora, Inc.",12.8,NYS:COR,,,,,
Cencosud SA,23.4,SGO:CENCOSUD,,,,,
Cencosud Shopping SA,19.7,SGO:CENCOSHOPP,,,,,
"Cengage Learning Holdings Ii, Inc.",16.5,OTC:CNGO,,,,,
Cenntro Electric Group Ltd.,28.6,NAS:CENN,,,,,
"Cenovus Energy, Inc.",43.6,TSE:CVE,,,,,
Centamin Plc,29.9,LON:CEY,,,,,
Centene Corp.,19.8,NYS:CNC,,,,,
"Center Laboratories, Inc.",30.1,ROCO:4123,,,,,
Center Parcs Ltd.,24.0,-,,,,,
CenterPoint Energy Houston Electric LLC,44.9,-,,,,,
CenterPoint Energy Resources Corp.,36.2,-,,,,,
"CenterPoint Energy, Inc.",28.7,NYS:CNP,,,,,
"Centerra Gold, Inc.",31.4,TSE:CG,,,,,
Centerspace,15.2,NYS:CSR,,,Centerspace,CSR,$0.88 B
Centrais Elétricas Brasileiras SA,32.6,BSP:ELET6,,,,,
Central 1 Credit Union,24.1,-,,,,,
Central American Bank for Economic Integration,13.9,-,,,,,
Central Asia Metals Plc,27.8,LON:CAML,,,,,
Central China New Life Ltd.,17.8,HKG:9983,,,,,
"Central China Securities Co., Ltd.",37.4,HKG:1375,,,,,
Central Depository Services (India) Ltd.,25.6,NSE:CDSL,,,,,
Central Garden & Pet Co.,13.9,NAS:CENT,,,,,
"Central Glass Co., Ltd.",32.4,TKS:4044,,,,,
Central Japan Railway Co.,31.9,TKS:9022,,,,,
Central New Energy Holding Group Ltd.,36.2,HKG:1735,,,,,
"Central Nippon Expressway Co., Ltd.",8.3,-,,,,,
Central Pacific Financial Corp.,23.1,NYS:CPF,,,,,
Central Pattana Public Co. Ltd.,14.2,BKK:CPN,,,,,
Central Plaza Hotel Public Co. Ltd.,28.0,BKK:CENTEL,,,,,
Central Reinsurance Corp.,29.3,TAI:2851,,,,,
Central Retail Corp. Public Co. Ltd.,23.5,BKK:CRC,,,,,
"Central Security Patrols Co., Ltd.",23.7,TKS:9740,,,,,
"Central Sports Co., Ltd.",33.6,TKS:4801,,,,,
Central Valley Community Bancorp,26.5,NAS:CVCY,,,Central Valley Community Bancorp,CVCY,$0.25 B
Centre Hospitalier de l'Universite de Montreal,31.9,-,,,,,
"Centre Testing International Group Co., Ltd.",19.9,SHE:300012,,,,,
Centrica Plc,24.5,LON:CNA,,,,,
Centro de Imagem Diagnósticos SA,27.1,BSP:AALR3,,,,,
CENTROTEC SE,32.7,HAM:CEV,,,,,
Centrus Energy Corp.,54.9,ASE:LEU,,,,,
Centuria Capital Group,24.4,ASX:CNI,,,,,
Centuria Industrial REIT,14.0,ASX:CIP,,,,,
Centuria Office REIT,10.9,ASX:COF,,,,,
Century Aluminum Co.,42.0,NAS:CENX,,,,,
"Century Casinos, Inc.",30.2,NAS:CNTY,,,,,
"Century Communities, Inc.",19.8,NYS:CCS,,,,,
"Century Iron & Steel Industrial Co., Ltd.",34.5,TAI:9958,,,,,
"Century Pacific Food, Inc.",33.3,PHS:CNPF,,,,,
Century Plyboards (India) Ltd.,23.4,BOM:532548,,,,,
Century Textiles & Industries Ltd.,38.7,BOM:500040,,,,,
"Century Therapeutics, Inc.",27.5,NAS:IPSC,,,,,
"Cepton, Inc.",39.1,NAS:CPTN,,,,,
Cera Sanitaryware Ltd.,24.7,BOM:532443,,,,,
"Cerence, Inc.",21.2,NAS:CRNC,,,,,
Ceres Power Holdings plc,21.0,LON:CWR,,,,,
"Cerevel Therapeutics Holdings, Inc.",32.9,NAS:CERE,,,,,
"Ceridian HCM Holding, Inc.",19.8,NYS:CDAY,,,,,
"Certara, Inc.",19.3,NAS:CERT,,,,,
Cerus Corp.,19.7,NAS:CERS,,,,,
CES Energy Solutions Corp.,40.1,TSE:CEU,,,,,
CESC Ltd.,31.2,BOM:500084,,,,,
Ceská sporitelna as,20.8,-,,,,,
Ceské dráhy as,28.5,-,,,,,
"CETC Cyberspace Security Technology Co., Ltd.",30.2,SHE:002268,,,,,
CETC Digital Technology Co. Ltd.,26.2,SHG:600850,,,,,
"CETC Potevio Science & Technology Co., Ltd.",24.7,SHE:002544,,,,,
Cetin Group NV,29.8,-,,,,,
Cettire Ltd.,28.0,ASX:CTT,,,,,
CEVA Santé Animale SA,20.2,-,,,,,
"CEVA, Inc.",22.6,NAS:CEVA,,,,,
CEWE Stiftung & Co. KGaA,11.6,ETR:CWC,,,,,
CEZ as,29.4,PRA:CEZ,,,,,
"CF Industries Holdings, Inc.",29.7,NYS:CF,,,,,
CG Power & Industrial Solutions Ltd.,26.2,BOM:500093,,,,,
CGG,15.3,PAR:CGG,,,,,
"CGI, Inc.",15.4,TSE:GIB.A,,,,,
"CGN New Energy Holdings Co., Ltd.",36.9,HKG:1811,,,,,
"CGN Nuclear Technology Development Co., Ltd.",37.3,SHE:000881,,,,,
"CGN Power Co., Ltd.",30.6,HKG:1816,,,,,
CH. Karnchang Public Co. Ltd.,37.1,BKK:CK,,,,,
"Cha Biotech Co., Ltd.",32.3,KRX:085660,,,,,
"Chacha Food Co., Ltd.",36.7,SHE:002557,,,,,
"Chailease Holding Co., Ltd.",16.3,TAI:5871,,,,,
Chalice Mining Ltd.,32.6,ASX:CHN,,,,,
Challenger Ltd.,19.7,ASX:CGF,,,,,
Chambal Fertilisers & Chemicals Ltd.,43.3,BOM:500085,,,,,
Champion Iron Ltd.,29.7,ASX:CIA,,,,,
Champion Real Estate Investment Trust,13.9,HKG:2778,,,,,
ChampionX Corp.,23.3,NAS:CHX,,,,,
Chang Hwa Commercial Bank Ltd.,21.8,TAI:2801,,,,,
"Chang Wah Electromaterials, Inc.",13.7,TAI:8070,,,,,
"Chang Wah Technology Co., Ltd.",30.4,ROCO:6548,,,,,
"Changchun FAWAY Automobile Components Co., Ltd.",30.4,SHG:600742,,,,,
"Changchun High & New Technology Industries (Group), Inc.",30.6,SHE:000661,,,,,
"CHANGE Holdings, Inc.",25.0,TKS:3962,,,,,
"Changjiang Securities Co., Ltd.",36.3,SHE:000783,,,,,
Changzhou Xingyu Automotive Lighting Systems Co. Ltd.,26.4,SHG:601799,,,,,
"Chanjet Information Technology Co., Ltd.",24.0,HKG:1588,,,,,
"Chaozhou Three-Circle (Group) Co., Ltd.",26.0,SHE:300408,,,,,
"Charge Enterprises, Inc.",20.9,NAS:CRGE,,,,,
"ChargePoint Holdings, Inc.",19.6,NYS:CHPT,,,,,
Chargeurs SA,17.6,PAR:CRI,,,,,
"Charles River Laboratories International, Inc.",18.7,NYS:CRL,,,,,
"Charoen Pokphand Enterprise (Taiwan) Co., Ltd.",36.0,TAI:1215,,,,,
Charoen Pokphand Foods Public Co. Ltd.,33.9,BKK:CPF,,,,,
"Chart Industries, Inc.",30.2,NYS:GTLS,,,,,
Charter Communications Operating LLC,15.6,-,,,,,
"Charter Communications, Inc.",24.2,NAS:CHTR,,,,,
Charter Hall Group,10.8,ASX:CHC,,,Charter Hall Group,CHC.AX,$3.62 B
Charter Hall Long WALE REIT,12.3,ASX:CLW,,,,,
Charter Hall Retail REIT,11.9,ASX:CQR,,,,,
Charter Hall Social Infrastructure REIT,15.0,ASX:CQE,,,,,
Chartwell Retirement Residences,18.4,TSE:CSH.UT,,,Chartwell Retirement Residences,CSH-UN.TO,$2.10 B
Chase Corp.,29.4,-,,,,,
Chatham Lodging Trust,15.3,NYS:CLDT,,,Chatham Lodging Trust,CLDT,$0.53 B
CHC Group Ltd.,30.3,-,,,,,
CHC Healthcare Group,16.9,TAI:4164,,,,,
Check Point Software Technologies Ltd.,18.1,NAS:CHKP,,,,,
"Cheesecake Factory, Inc.",25.8,NAS:CAKE,,,,,
"Chegg, Inc.",7.4,NYS:CHGG,,,,,
"Cheil Worldwide, Inc.",19.1,KRX:030000,,,,,
Chemed Corp.,24.7,NYS:CHE,,,,,
Chemical Works of Gedeon Richter Plc,30.2,BUD:RICHT,,,,,
ChemoMetec A/S,15.8,CSE:CHEMM,,,,,
Chemplast Sanmar Ltd.,32.4,BOM:543336,,,,,
Chemring Group Plc,28.2,LON:CHG,,,,,
"Cheng De Lolo Co., Ltd.",31.8,SHE:000848,,,,,
Cheng Loong Corp.,19.6,TAI:1904,,,,,
"Cheng Shin Rubber Ind. Co., Ltd.",18.3,TAI:2105,,,,,
Cheng Uei Precision Industry Co. Ltd.,22.7,TAI:2392,,,,,
Chengdu ALD Aviation Manufacturing Corp.,39.6,SHE:300696,,,,,
"Chengdu CORPRO Technology Co., Ltd.",25.5,SHE:300101,,,,,
"Chengdu Fusen Noble-House Industrial Co., Ltd.",21.0,SHE:002818,,,,,
"Chengdu Hongqi Chain Co., Ltd.",24.7,SHE:002697,,,,,
"Chengdu Kanghong Pharmaceutical Group Co., Ltd.",34.4,SHE:002773,,,,,
"Chengdu Kanghua Biological Products Co., Ltd.",24.4,SHE:300841,,,,,
"Chengdu Leejun Industrial Co., Ltd.",32.0,SHE:002651,,,,,
"Chengdu RML Technology Co., Ltd.",26.2,SHE:301050,,,,,
"Chengdu Wintrue Holding Co., Ltd.",53.5,SHE:002539,,,,,
"Chengdu Xingrong Environment Co., Ltd.",39.8,SHE:000598,,,,,
"Chengtun Mining Group Co., Ltd.",60.7,SHG:600711,,,,,
"Chengxin Lithium Group Co., Ltd.",59.6,SHE:002240,,,,,
"Chengzhi Co., Ltd.",26.9,SHE:000990,,,,,
Cheniere Energy Partners LP,29.9,ASE:CQP,,,,,
"Cheniere Energy, Inc.",22.7,ASE:LNG,,,,,
Chervon Holdings Ltd.,25.6,HKG:2285,,,,,
Chesapeake Energy Corp.,41.3,NAS:CHK,,,,,
Chesapeake Utilities Corp.,35.9,NYS:CPK,,,,,
Chesnara Plc,29.5,LON:CSN,,,,,
Chevron Corp.,36.8,NYS:CVX,,,,,
Chevron Phillips Chemical Co. LLC,31.3,-,,,,,
"Chevron U.S.A., Inc.",49.5,-,,,,,
"Chewy, Inc.",29.2,NYS:CHWY,,,,,
Chia Hsin Cement Corp.,34.5,TAI:1103,,,,,
"Chicago Atlantic Real Estate Finance, Inc.",21.8,NAS:REFI,,,,,
"Chico's FAS, Inc.",15.0,NYS:CHS,,,,,
"Chicony Electronics Co., Ltd.",14.3,TAI:2385,,,,,
"Chicony Power Technology Co., Ltd.",16.2,TAI:6412,,,,,
Chief Telecom Inc.,30.4,ROCO:6561,,,,,
"Chifeng Jilong Gold Mining Co., Ltd.",63.8,SHG:600988,,,,,
"Chilled & Frozen Logistics Holdings Co., Ltd.",22.2,TKS:9099,,,,,
Chimera Investment Corp.,15.0,NYS:CIM,,,,,
"Chimerix, Inc.",29.0,NAS:CMRX,,,,,
