company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
Acadia Realty Trust,15.0,NYS:AKR,,,Acadia Realty Trust,AKR,$1.75 B
"AcBel Polytech, Inc.",20.0,TAI:6282,,,,,
ACC Ltd.,29.3,BOM:500410,,,,,
"Accel Entertainment, Inc.",19.5,NYS:ACEL,,,,,
"Accelink Technologies Co., Ltd.",21.4,SHE:002281,,,,,
Accelleron Industries AG,26.6,SWX:ACLN,,,,,
Accent Group Ltd.,16.5,ASX:AX1,,,,,
Accenture Plc,9.8,NYS:ACN,,,,,
Accès Recherche Montréal LP,34.9,-,,,,,
Access Bank Plc,36.6,-,,,,,
Access Prairies Partnership,45.7,-,,,,,
Acciona SA,17.8,MCE:ANA,,,,,
ACCO Brands Corp.,7.5,NYS:ACCO,,,,,
"Accolade, Inc.",20.6,NAS:ACCD,,,,,
Accor SA,18.1,PAR:AC,,,,,
Accton Technology Corp.,20.1,TAI:2345,,,,,
Ace Technologies Corp.,25.0,KRX:088800,,,,,
Acea SpA,20.4,MIL:ACE,,,,,
ACEN Corp.,36.4,PHS:ACEN,,,,,
"Acer, Inc.",14.7,TAI:2353,,,,,
Acerinox SA,29.5,MCE:ACX,,,,,
Achilles Corp.,30.5,TKS:5142,,,,,
Achmea Bank NV,20.9,-,,,,,
Achmea BV,14.6,-,,,,,
"ACI Worldwide, Inc.",22.4,NAS:ACIW,,,,,
Ackermans & van Haaren NV,7.6,BRU:ACKB,,,,,
"Aclaris Therapeutics, Inc.",32.7,NAS:ACRS,,,,,
"ACM Research (Shanghai), Inc.",31.3,SHG:688082,,,,,
"ACM Research, Inc.",32.1,NAS:ACMR,,,,,
ACNB Corp.,30.6,NAS:ACNB,,,,,
"ACOM Co., Ltd.",23.3,TKS:8572,,,,,
ACOMO NV,13.3,AMS:ACOMO,,,,,
Acrinova AB,23.1,OME:ACRI.A,,,,,
Acron PJSC,52.9,MIC:AKRN,,,,,
ACS Actividades de Construcción y Servicios SA,30.8,MCE:ACS,,,,,
Acter Group Corp. Ltd.,28.4,ROCO:5536,,,,,
Actic Group AB,32.0,OME:ATIC,,,,,
Action Construction Equipment Ltd.,31.2,BOM:532762,,,,,
Action Logement Immobilier SASU,22.5,-,,,,,
Active Biotech AB,28.1,OME:ACTI,,,,,
"Activia Properties, Inc.",12.7,TKS:3279,,,,,
"Activision Blizzard, Inc.",18.5,-,,,,,
"Acuity Brands Lighting, Inc.",18.0,-,,,,,
"Acuity Brands, Inc.",19.2,NYS:AYI,,,,,
Acushnet Holdings Corp.,10.7,NYS:GOLF,,,,,
ACWA Power Co.,36.9,SAU:2082,,,,,
ADAMA Ltd.,35.9,SHE:000553,,,,,
Adani Electricity Mumbai Ltd.,25.3,-,,,,,
Adani Energy Solutions Ltd.,31.5,BOM:539254,,,,,
Adani Enterprises Ltd.,34.3,BOM:512599,,,,,
Adani Green Energy Ltd.,14.4,BOM:541450,,,,,
Adani Ports & Special Economic Zone Ltd.,12.7,BOM:532921,,,,,
Adani Power Ltd.,36.6,BOM:533096,,,,,
Adani Total Gas Ltd.,23.9,BOM:542066,,,,,
Adani Wilmar Ltd.,33.1,BOM:543458,,,,,
adapa Holding GesmbH,12.7,-,,,,,
AdaptHealth Corp.,32.8,NAS:AHCO,,,,,
Adaptive Biotechnologies Corp.,18.9,NAS:ADPT,,,,,
"Adastria Co., Ltd.",19.7,TKS:2685,,,,,
"ADATA Technology Co., Ltd.",38.2,ROCO:3260,,,,,
ADBRI Ltd.,35.9,ASX:ABC,,,,,
Adcock Ingram Holdings Ltd.,29.8,JSE:AIP,,,,,
"ADDCN Technology Co., Ltd.",23.8,ROCO:5287,,,,,
AddLife AB,15.3,OME:ALIF.B,,,,,
Addnode Group AB,26.7,OME:ANOD.B,,,,,
"Addsino Co., Ltd.",23.7,SHE:000547,,,,,
Addtech AB,21.2,OME:ADDT.B,,,Addtech AB,ADDT-B.ST,$5.87 B
Addus HomeCare Corp.,18.5,NAS:ADUS,,,,,
Adecco Group AG,9.1,SWX:ADEN,,,,,
Adecoagro SA,28.8,NYS:AGRO,,,,,
"Adeia, Inc.",30.3,NAS:ADEA,,,,,
Adeka Corp.,26.6,TKS:4401,,,,,
Adelaide Airport Ltd.,9.7,-,,,,,
"ADENTRA, Inc.",28.6,TSE:ADEN,,,,,
adesso SE,21.5,ETR:ADN1,,,adesso SE,ADN1.DE,$0.75 B
Adevinta ASA,21.9,OSL:ADE,,,,,
"Adicet Bio, Inc.",26.6,NAS:ACET,,,,,
adidas AG,14.6,ETR:ADS,,,,,
Adient plc,16.0,NYS:ADNT,,,,,
Adimmune Corp.,26.7,TAI:4142,,,,,
Aditya Birla Capital Ltd.,12.4,BOM:540691,,,,,
Aditya Birla Fashion & Retail Ltd.,13.3,BOM:535755,,,,,
ADLER Group SA,22.8,ETR:ADJ,,,,,
"Adlink Technology, Inc.",20.8,TAI:6166,,,,,
"ADMA Biologics, Inc.",32.1,NAS:ADMA,,,,,
Admie Holdings (IPTO) SA,31.8,ATH:ADMIE,,,,,
Admiral Group Plc,24.2,LON:ADM,,,,,
