company,roe
Lancer Containe.,40.65
Committed Cargo,20.20
Ratnamani Metals,21.05
Gretex Corporate,73.57
Greenpanel Inds.,23.58
Century Plyboard,22.78
Rajratan Global,25.66
Dhanuka Agritech,21.32
APL Apollo Tubes,23.50
Cummins India,21.63
Suraj Products,28.67
Supreme Inds.,20.95
Mahanagar Gas,20.44
Panch.Organics,20.52
Dr Reddy's Labs,21.64
KMC Speciality,26.72
Bhagwati Auto,25.17
Sealmatic India,20.08
Yatharth Hospit.,43.87
Petronet LNG,22.85
Hind. Unilever,20.47
Sr.Rayala.Hypo,21.55
Sungarner Energ.,30.96
Caplin Point Lab,25.59
Kewal Kir.Cloth.,21.82
Asarfi Hospital,24.88
Chamanlal Setia,23.12
Happy Forgings,23.50
Banco Products,23.87
KEI Industries,20.21
Roto Pumps,22.42
Suraj,20.46
Maithan Alloys,20.01
Hindustan Hardy,22.63
Shish Industries,22.52
Vadilal Inds.,28.44
H.G. Infra Engg.,29.36
Oil India,25.23
Brady & Morris,38.99
Cyber Media Res.,25.98
Unique Organics,26.80
Josts Engg. Co.,20.19
Trident Lifeline,23.84
AIA Engineering,20.05
Aurionpro Sol.,21.76
Redington,21.89
Elecon Engg.Co,20.50
Goyal Salt,25.39
Shriram Pistons,20.77
Shree Ganesh Rem,22.60
Vikram Thermo,20.72
K P R Mill Ltd,23.38
Elgi Equipments,23.77
Blue Star,23.41
Integra Engg.,34.39
Metro Brands,25.43
Garg Furnace,33.53
Dixon Technolog.,22.52
Rainbow Child.,25.52
D. P. Abhushan,28.40
eMudhra,22.42
HMA Agro Inds.,28.37
Creative Newtech,24.84
Berger Paints,20.44
Krishna Institu.,21.34
SBC Exports,22.19
Alufluoride,22.06
Tinna Rubber,24.39
Galaxy Surfact.,22.09
Agarwal Indl.,26.21
Gulf Oil Lubric.,20.92
Annapurna Swadi.,20.94
Shri Techtex,35.63
Campus Activewe.,23.81
Prerna Infra.,22.78
Loyal Equipments,30.57
Jash Engineering,24.30
Unihealth Consul,36.11
SRF,22.84
Transport Corp.,20.47
D.K. Enterprises,21.39
Bondada Engineer,26.08
Kreon Finnancial,37.65
Laurus Labs,20.43
Bombay Super Hyb,34.98
Pentagon Rubber,44.13
MANGALAM SEEDS,21.76
NELCO,20.52
Jupiter Life Lin,22.51
Tega Inds.,20.66
R C F,21.19
Maximus Interna.,23.96
GE Shipping Co,26.84
Universal Auto.,26.26
Adani Total Gas,20.39
Hind.Oil Explor.,24.13
Satia Industries,30.05
Pearl Global Ind,21.10
M K Proteins,23.68
Shukra Pharma.,21.18
Allcargo Logist.,20.10
Sportking India,20.18
Baba Food,22.22
Rushil Decor,23.88
JSW Infrast,20.41
Bharat Wire,50.49
GRM Overseas,23.38
R R Kabel,20.34
Cyient DLM,23.36
Tilaknagar Inds.,23.89
DCX Systems,20.92
W S Inds.,63.75
A K Spintex,27.25
