company,esg_rating,stock_name
Citizen Housing Group Ltd.,14.6,-
Citizen Treasury 2 Plc,23.7,-
"Citizen Watch Co., Ltd.",13.5,TKS:7762
Citizens & Northern Corp.,33.6,NAS:CZNC
"Citizens Financial Group, Inc. (Rhode Island)",23.8,NYS:CFG
City Cement Co.,43.1,SAU:3003
"City Development Environment Co., Ltd.",48.7,SHE:000885
City Developments Ltd.,8.0,SES:C09
City Holding Co.,27.5,NAS:CHCO
City of London Investment Group Plc,28.7,LON:CLIG
"City Office REIT, Inc.",15.1,NYS:CIO
City Union Bank Ltd.,27.6,BOM:532210
Citychamp Watch & Jewellery Group Ltd.,18.6,HKG:256
Citycon Oyj,11.3,HEL:CTY1S
"Civista Bancshares, Inc.",29.1,NAS:CIVB
"Civitas Resources, Inc.",38.2,NYS:CIVI
Civitas Social Housing Plc,14.9,-
"CJ CGV Co., Ltd.",17.4,KRX:079160
CJ CheilJedang Corp.,34.9,KRX:097950
CJ Corp.,44.9,KRX:001040
"CJ ENM Co., Ltd.",15.6,KRX:035760
CJ Freshway Corp.,16.3,KRX:051500
CJ Logistics Corp.,16.7,KRX:000120
CK Asset Holdings Ltd.,17.3,HKG:1113
CK Hutchison Capital Securities (Europe) Ltd.,15.8,-
CK Hutchison Group Telecom Holdings Ltd.,12.8,-
CK Hutchison Holdings Ltd.,27.3,HKG:1
CK Infrastructure Holdings Ltd.,30.3,HKG:1038
"CK Life Sciences International (Holdings), Inc.",23.2,HKG:775
CK Power Public Co. Ltd.,31.9,BKK:CKP
CKD Corp.,28.9,TKS:6407
CKE Holdings LP,33.5,-
Clal Insurance Enterprises Holdings Ltd.,35.1,TAE:CLIS
Clariane SE,32.1,PAR:CLARI
Clariant AG,21.0,SWX:CLN
Clarion Housing Group Ltd.,13.5,-
Clarios Global LP,17.5,-
Clarivate Plc,20.9,NYS:CLVT
Clarkson Plc,26.7,LON:CKN
"Claros Mortgage Trust, Inc.",20.4,NYS:CMTG
Clarus Corp.,19.9,NAS:CLAR
Clas Ohlson AB,8.5,OME:CLAS.B
"CLASSYS, Inc.",29.9,KRX:214150
Clean Energy Fuels Corp.,35.8,NAS:CLNE
"Clean Harbors, Inc.",23.1,NYS:CLH
Clean Science & Technology Ltd.,26.5,BOM:543318
"Cleanaway Co., Ltd.",16.6,TAI:8422
Cleanaway Waste Management Ltd.,22.1,ASX:CWY
"CleanSpark, Inc.",27.2,NAS:CLSK
Cleanup Corp.,17.7,TKS:7955
"Clear Channel Outdoor Holdings, Inc.",20.2,NYS:CCO
"Clear Secure, Inc.",22.7,NYS:YOU
"Clearfield, Inc.",19.4,NAS:CLFD
"Clearpoint Neuro, Inc.",32.5,NAS:CLPT
"Clearwater Analytics Holdings, Inc.",26.3,NYS:CWAN
Clearwater Paper Corp.,24.2,NYS:CLW
"Clearway Energy, Inc.",30.5,NYS:CWEN
Cleco Corporate Holdings LLC,43.2,-
Cleopatra Hospital Co.,32.0,CAI:CLHO
"Cleveland-Cliffs, Inc.",38.3,NYS:CLF
Clevo Co.,21.0,TAI:2362
Clicks Group Ltd.,21.2,JSE:CLS
"Client Service International, Inc.",29.2,SHE:300663
Clifford Capital Pte Ltd.,25.3,-
Clinuvel Pharmaceuticals Ltd.,22.6,ASX:CUV
"Clipper Realty, Inc.",24.6,NYS:CLPR
Cloetta AB,22.7,OME:CLA.B
Close Brothers Group Plc,26.8,LON:CBG
"Cloud Music, Inc.",23.4,HKG:9899
Cloudberry Clean Energy ASA,23.4,OSL:CLOUD
"Cloudflare, Inc.",23.0,NYS:NET
Clover Health Investments Corp.,32.7,NAS:CLOV
Clover LP,54.3,-
CLP Holdings Ltd.,20.2,HKG:2
CLS Holdings Plc,14.7,LON:CLI
Clydesdale Bank Plc,16.5,-
CM Hospitalar SA,15.4,BSP:VVEO3
CM.com NV,24.3,AMS:CMCOM
CMA CGM SA,19.3,-
CMB International Leasing Management Ltd.,24.8,-
CMB Wing Lung Bank Ltd.,26.8,-
CMBC Capital Holdings Ltd.,36.8,HKG:1141
CMC Magnetics Corp.,20.9,TAI:2323
CMC Markets Plc,24.7,LON:CMCX
"CME Group, Inc.",17.9,NAS:CME
"CMG Pharmaceutical Co., Ltd.",41.2,KRX:058820
CMGE Technology Group Ltd.,17.3,HKG:302
"CMIC Holdings Co., Ltd.",21.9,TKS:2309
CMK Corp.,23.1,TKS:6958
CMOC Group Ltd.,31.4,HKG:3993
CMS Energy Corp.,21.7,NYS:CMS
"CMST Development Co., Ltd.",27.4,SHG:600787
CNA Financial Corp.,29.1,NYS:CNA
CNB Financial Corp. (Pennsylvania),31.0,NAS:CCNE
CNCB (Hong Kong) Investment Ltd.,25.9,-
"CNGR Advanced Material Co., Ltd.",35.0,SHE:300919
CNH Industrial Capital Australia Pty Ltd.,13.8,-
CNH Industrial Capital Canada Ltd.,16.6,-
CNH Industrial Capital LLC,15.8,-
CNH Industrial NV,14.6,NYS:CNHI
"CNHTC Jinan Truck Co., Ltd.",18.4,SHE:000951
"CNNC Hua Yuan Titanium Dioxide Co., Ltd.",36.5,SHE:002145
"CNO Financial Group, Inc.",23.0,NYS:CNO
CNOOC Energy Technology & Services Ltd.,29.8,SHG:600968
CNOOC Ltd.,43.8,HKG:883
CNOOC Petroleum North America ULC,42.7,-
CNP Assurances SA,15.8,-
"CNPC Capital Co., Ltd.",38.6,SHE:000617
"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",34.0,SHG:600328
CNX Resources Corp.,46.4,NYS:CNX
Co-entreprise de Transport d’Electricité SA,22.5,-
Co-operators Financial Services Ltd.,29.3,-
Co-Tech Development Corp.,20.6,ROCO:8358
Coal Energy SA,65.5,WAR:CLE
Coal India Ltd.,45.0,BOM:533278
Coast Capital Savings Federal Credit Union,31.2,-
Coastal Financial Corp. (Washington),33.0,NAS:CCB
Coats Group Plc,12.1,LON:COA
"Coca-Cola Bottlers Japan Holdings, Inc.",25.0,TKS:2579
"Coca-Cola Consolidated, Inc.",34.2,NAS:COKE
Coca-Cola Europacific Partners plc,15.7,NAS:CCEP
Coca-Cola FEMSA SAB de CV,27.4,MEX:KOFUBL
Coca-Cola HBC AG,13.8,LON:CCH
Coca-Cola Icecek AS,17.8,IST:CCOLA.E
Cochin Shipyard Ltd.,27.5,BOM:540678
Cochlear Ltd.,28.0,ASX:COH
Codan Ltd.,10.0,ASX:CDA
"Codexis, Inc.",38.4,NAS:CDXS
"Coeur Mining, Inc.",32.7,NYS:CDE
Coface SA,18.0,PAR:COFA
"COFCO Biotechnology Co., Ltd.",36.9,SHE:000930
"COFCO Capital Holdings Co., Ltd.",18.9,SHE:002423
COFCO Corp.,40.2,-
COFCO International (HK) Ltd.,20.0,-
COFCO Joycome Foods Ltd.,38.3,HKG:1610
Cofinimmo SA,11.1,BRU:COFB
Cofiroute SA,7.4,-
Coforge Ltd.,22.3,BOM:532541
"Cogeco Communications, Inc.",11.1,TSE:CCA
"Cogeco, Inc.",16.0,TSE:CGO
"Cogent Biosciences, Inc.",30.5,NAS:COGT
"Cogent Communications Holdings, Inc.",30.4,NAS:CCOI
Cogna Educação SA,10.7,BSP:COGN3
Cognex Corp.,11.2,NAS:CGNX
Cognizant Technology Solutions Corp.,14.5,NAS:CTSH
"Cohen & Steers, Inc. (New York)",26.1,NYS:CNS
Coherent Corp.,18.7,NYS:COHR
"Coherus BioSciences, Inc.",28.1,NAS:CHRS
"Cohu, Inc.",17.3,NAS:COHU
"Coinbase Global, Inc.",27.5,NAS:COIN
Colbún SA,25.8,SGO:COLBUN
Coles Group Ltd.,22.2,ASX:COL
Colgate-Palmolive (India) Ltd.,28.0,BOM:500830
Colgate-Palmolive Co.,26.2,NYS:CL
"Collegium Pharmaceutical, Inc.",29.6,NAS:COLL
"Colliers International Group, Inc.",10.6,TSE:CIGI
Collins Foods Ltd.,28.3,ASX:CKF
Colombia Telecomunicaciones SA ESP,26.2,BOG:COLTEL
"Colonial Enterprises, Inc.",26.3,-
Colonial Pipeline Co.,40.4,-
"Colony Bankcorp, Inc.",27.8,NAS:CBAN
"COLOPL, Inc.",24.9,TKS:3668
Coloplast A/S,15.2,CSE:COLO.B
"Colowide Co., Ltd.",33.7,TKS:7616
Colruyt Group NV,21.5,BRU:COLR
Colt CZ Group SE,35.4,PRA:CZG
Coltene Holding AG,17.7,SWX:CLTN
"Columbia Banking System, Inc.",27.7,NAS:COLB
"Columbia Financial, Inc.",28.1,NAS:CLBK
Columbia Sportswear Co.,14.7,NAS:COLM
Columbus McKinnon Corp.,29.9,NAS:CMCO
Com2uS Corp.,25.8,KRX:078340
Com2uS Holdings Corp.,21.1,KRX:063080
Com7 Public Co. Ltd.,19.5,BKK:COM7
Comarch SA,18.2,WAR:CMR
Comba Telecom Systems Holdings Ltd.,21.2,HKG:2342
Comcast Corp.,23.1,NAS:CMCSA
Comer Industries SpA,21.4,MIL:COM
"Comerica, Inc.",25.1,NYS:CMA
COMET Holding AG,14.3,SWX:COTN
"Comforia Residential REIT, Inc.",13.3,TKS:3282
"Comfort Systems USA, Inc.",30.8,NYS:FIX
ComfortDelGro Corp. Ltd.,15.2,SES:C52
Cominar Real Estate Investment Trust,19.3,-
Comisión Federal de Electricidad SA de CV,60.5,-
"Commerce Bancshares, Inc. (Missouri)",23.7,NAS:CBSH
Commercial Bank of Dubai,32.1,DFM:CBD
Commercial Bank of Qatar,27.9,DSMD:CBQK
Commercial International Bank (Egypt) SAE,19.8,CAI:COMI
Commercial Metals Co.,28.0,NYS:CMC
Commerzbank AG,26.0,ETR:CBK
CommonSpirit Health (Illinois),34.2,-
Commonwealth Bank of Australia,17.1,ASX:CBA
Commonwealth Edison Co.,27.3,-
"CommScope Holding Co., Inc.",13.1,NAS:COMM
"Community Bank System, Inc.",24.6,NYS:CBU
"Community Health Systems, Inc.",33.8,NYS:CYH
"Community Healthcare Trust, Inc.",17.6,NYS:CHCT
"Community Trust Bancorp, Inc. (Kentucky)",31.9,NAS:CTBI
"Commvault Systems, Inc.",21.4,NAS:CVLT
Compagnie de Saint-Gobain SA,21.8,PAR:SGO
Compagnie des Alpes SA,26.6,PAR:CDA
Compagnie du Bois Sauvage SA,19.5,BRU:COMB
Compagnie Financière Richemont SA,11.3,SWX:CFR
Compagnie Générale des Établissements Michelin SCA,11.5,PAR:ML
"Compal Electronics, Inc.",18.6,TAI:2324
Companhia Brasileira de Alumínio,27.5,BSP:CBAV3
Companhia Brasileira de Distribuicao,23.1,BSP:PCAR3
Companhia de Ferro Ligas da Bahia,36.7,BSP:FESA4
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,31.9,BSP:SBSP3
Companhia de Saneamento de Minas Gerais,36.5,BSP:CSMG3
Companhia de Saneamento do Paraná,32.3,BSP:SAPR4
Companhia Energética de Minas Gerais SA,26.7,BSP:CMIG4
Companhia Paranaense de Energia,23.0,BSP:CPLE6
Companhia Siderurgica Nacional,26.1,BSP:CSNA3
Compañía Cervecerías Unidas SA,26.8,SGO:CCU
Compañía de Distribución Integral Logista Holdings SA,14.4,MCE:LOG
Compañía de Minas Buenaventura SAA,42.5,LIM:BUENAVC1
Compañía Española de Petróleos SA,21.8,-
Compania Sud Americana de Vapores SA,23.4,SGO:VAPORES
Compass Diversified Holdings,28.1,NYS:CODI
Compass Group Plc,20.0,LON:CPG
"Compass Minerals International, Inc.",37.1,NYS:CMP
"Compass, Inc. (New York)",24.1,NYS:COMP.EQ
"Compeq Manufacturing Co., Ltd.",20.9,TAI:2313
"CompoSecure, Inc.",25.8,NAS:CMPO
CompuGroup Medical Societas Europaea,15.6,ETR:COP
Computacenter Plc,15.5,LON:CCC
Computer Age Management Services Ltd.,23.0,BOM:543232
Computer Direct Group Ltd.,24.9,TAE:CMDR
Computer Engineering & Consulting Ltd.,22.3,TKS:9692
"Computer Programs & Systems, Inc.",20.2,NAS:CPSI
Computershare Ltd.,21.0,ASX:CPU
"CompX International, Inc.",8.9,ASE:CIX
"Comstock Resources, Inc.",45.0,NYS:CRK
COMSYS Holdings Corp.,40.5,TKS:1721
Comtech Telecommunications Corp.,22.0,NAS:CMTL
Comture Corp.,23.5,TKS:3844
"Conagra Brands, Inc.",28.3,NYS:CAG
Concejo AB,12.9,OME:CNCJO.B
Concentra Bank,24.2,-
Concentradora Fibra Danhos SA de CV,11.6,MEX:DANHOS13
Concentric AB,18.8,OME:COIC
Concentrix Corp.,16.9,NAS:CNXC
Concepcion Industrial Corp.,29.6,PHS:CIC
Concord New Energy Group Ltd.,21.5,HKG:182
"Concordia Financial Group, Ltd.",30.0,TKS:7186
Concordia Maritime AB,37.8,OME:CCOR.B
Concordia University,14.2,-
"Concrete Pumping Holdings, Inc.",44.3,NAS:BBCP
"Conduent, Inc.",24.0,NAS:CNDT
Conduit Holdings Ltd.,34.3,LON:CRE
"Confluent, Inc.",20.5,NAS:CFLT
CONMED Corp.,23.9,NYS:CNMD
"Conn's, Inc.",19.9,NAS:CONN
Connect Plus (M25) Issuer PLC,26.1,-
Connecteast Finance Pty Ltd.,9.4,-
"ConnectOne Bancorp, Inc.",32.8,NAS:CNOB
"Connectwave Co., Ltd.",28.0,KRX:119860
ConocoPhillips,35.1,NYS:COP
"Consensus Cloud Solutions, Inc.",24.2,NAS:CCSI
"CONSOL Energy, Inc.",43.4,NYS:CEIX
"Consolidated Communications Holdings, Inc.",34.7,NAS:CNSL
"Consolidated Edison Company of New York, Inc.",27.1,-
"Consolidated Edison, Inc.",22.3,NYS:ED
Consolidated Water Co. Ltd.,35.5,NAS:CWCO
Consorcio Corredor Vial Bioceanico,13.8,-
Consorcio Transmantaro SA,19.3,-
"Constellation Brands, Inc.",26.7,NYS:STZ
Constellation Energy Corp.,32.3,NAS:CEG
Constellation Energy Generation LLC,29.9,-
"Constellation Software, Inc.",25.6,TSE:CSU
Constellium SE,22.2,NYS:CSTM
Construcciones y Auxiliar de Ferrocarriles SA,17.2,MCE:CAF
"Construction Partners, Inc.",46.3,NAS:ROAD
Construtora Norberto Odebrecht SA,51.7,-
"Consumer Portfolio Services, Inc.",31.7,NAS:CPSS
Consumers Energy Co.,36.7,-
Consumers Gas Ltd.,26.7,-
Consun Pharmaceutical Group Ltd.,32.6,HKG:1681
Contact Energy Ltd.,32.8,NZE:CEN
Container Corp. of India Ltd.,27.8,BOM:531344
Container Leasing International LLC,28.2,-
Contec Medical Systems Co. Ltd.,32.4,SHE:300869
"Contemporary Amperex Technology Co., Ltd.",19.2,SHE:300750
"ContextLogic, Inc.",26.2,NAS:WISH
Continental AG,18.3,ETR:CON
Continental Holdings Corp.,37.2,TAI:3703
"Continental Resources, Inc.",49.6,-
Continuum Green Energy Ltd. (Singapore),21.4,-
ContourGlobal Ltd.,25.9,-
Controladora Vuela Compañía de Aviación SAB de CV,28.1,MEX:VOLARA
ConvaTec Group Plc,16.6,LON:CTEC
"Converge Information & Communications Tech Solutions, Inc.",19.6,PHS:CNVRG
Converge Technology Solutions Corp.,28.3,TSE:CTS
"Convergent Energy & Power, Inc.",10.4,-
"Cookpad, Inc.",27.6,TKS:2193
Cool Co. Ltd.,30.4,OSL:CLCO
Cooper Energy Ltd.,41.6,ASX:COE
"Cooper-Standard Holdings, Inc.",16.2,NYS:CPS
Coöperatieve Rabobank UA,13.7,-
Coor Service Management Holding AB,9.6,OME:COOR
Copa Holdings SA,30.2,NYS:CPA
"Copart, Inc.",16.0,NAS:CPRT
COPT Defense Properties,10.9,NYS:CDP
Corbion NV,22.6,AMS:CRBN
Corby Spirit & Wine Ltd.,24.9,TSE:CSW.A
"Corcept Therapeutics, Inc.",27.6,NAS:CORT
Cordelio Amalco GP I,54.3,-
"Core & Main, Inc.",20.9,NYS:CNM
"CoreCivic, Inc.",28.0,NYS:CXW
Corem Property Group AB,17.1,OME:CORE.A
Coretronic Corp.,13.8,ROCO:5371
"Corning, Inc.",16.5,NYS:GLW
Coromandel International Ltd.,36.8,BOM:506395
Corona Corp.,27.0,TKS:5909
"Coronado Global Resources, Inc.",50.6,ASX:CRN
Coronation Fund Managers Ltd.,27.5,JSE:CML
Corporación Acciona Energias Renovables SA,10.7,MCE:ANE
Corporación Financiera Alba SA,12.5,MCE:ALB
Corporación Financiera Colombiana SA,13.8,BOG:CORFICOLCF
Corporación Financiera de Desarrollo SA,13.8,-
Corporación Inmobiliaria Vesta SAB de CV,10.0,MEX:VESTA
Corporación Nacional del Cobre de Chile,25.0,-
Corporación Quiport SA,20.1,-
Corporate Travel Management Ltd.,24.1,ASX:CTD
"Corsair Gaming, Inc.",19.3,NAS:CRSR
"Corteva, Inc.",36.5,NYS:CTVA
Corticeira Amorim SGPS SA,11.4,LIS:COR
Coruripe Netherlands BV,26.5,-
"Corus Entertainment, Inc.",13.9,TSE:CJR.B
CorVel Corp.,20.7,NAS:CRVL
Cosan SA,33.9,BSP:CSAN3
"COSCO SHIPPING Development Co., Ltd.",23.8,HKG:2866
"COSCO SHIPPING Energy Transportation Co., Ltd.",25.1,HKG:1138
COSCO SHIPPING Holdings Co. Ltd.,22.7,HKG:1919
"COSCO SHIPPING International (Hong Kong) Co., Ltd.",16.7,HKG:517
"COSCO Shipping International (Singapore) Co., Ltd.",31.1,SES:F83
COSCO SHIPPING Ports Ltd.,17.2,HKG:1199
"Cosel Co., Ltd.",26.7,TKS:6905
"COSMAX, Inc.",38.8,KRX:192820
"Cosmo AM&T Co., Ltd.",20.2,KRX:005070
"Cosmo Energy Holdings Co., Ltd.",42.0,TKS:5021
Cosmo Pharmaceuticals NV,31.3,SWX:COPN
Cosmopolitan International Holdings Ltd.,21.4,HKG:120
COSMOS Pharmaceutical Corp.,27.5,TKS:3349
Costa Group Holdings Ltd.,33.1,ASX:CGC
Costain Group Plc,33.6,LON:COST
"Costamare, Inc.",26.3,NYS:CMRE
"CoStar Group, Inc.",21.3,NAS:CSGP
Costco Wholesale Corp.,26.3,NAS:COST
"Coterra Energy, Inc.",36.1,NYS:CTRA
Cottage Health Systems,26.9,-
"Coty, Inc.",26.6,NYS:COTY
"Couchbase, Inc.",21.9,NAS:BASE
Council of Europe Development Bank,5.5,-
Country Garden Holdings Co. Ltd.,22.5,HKG:2007
Country Garden Services Holdings Co. Ltd.,11.5,HKG:6098
"Coupa Software, Inc.",16.9,-
"Coupang, Inc.",26.2,NYS:CPNG
"Coursera, Inc.",21.0,NYS:COUR
"Cousins Properties, Inc.",11.3,NYS:CUZ
"Covenant Logistics Group, Inc.",20.7,NAS:CVLG
Coventry Building Society,17.3,-
Covestro AG,20.1,ETR:1COV
Covivio Hotels SCA,11.1,PAR:COVH
Covivio SA,7.9,PAR:COV
"COWAY Co., Ltd.",18.2,KRX:021240
Cowell e Holdings Inc.,23.1,HKG:1415
"Cowen, Inc.",31.1,-
"Cox Communications, Inc.",21.3,-
"Cox Enterprises, Inc.",42.1,-
CP All Public Co. Ltd.,21.9,BKK:CPALL
"CP Axtra Public Co., Ltd.",15.9,BKK:CPAXT
CPFL Energia SA,32.4,BSP:CPFE3
"CPI Card Group, Inc.",19.4,NAS:PMTS
CPI Property Group SA,11.6,ETR:O5G
CPMC Holdings Ltd.,21.6,HKG:906
CPN Retail Growth Leasehold REIT,11.0,BKK:CPNREIT
"CPPIB Capital, Inc.",30.0,-
"CRA International, Inc.",19.1,NAS:CRAI
"Cracker Barrel Old Country Store, Inc.",24.4,NAS:CBRL
Craftsman Automation Ltd.,25.1,BOM:543276
Craneware Plc,21.6,LON:CRW
Cranswick Plc,24.3,LON:CWK
Crawford & Co.,21.7,NYS:CRD.B
Crayon Group Holding AS,16.6,OSL:CRAYN
"CRE Logistics REIT, Inc.",16.6,TKS:3487
Creades AB,16.0,OME:CRED.A
"create restaurants holdings, inc.",32.8,TKS:3387
"Create SD Holdings Co., Ltd.",18.6,TKS:3148
Creative & Innovative System Corp.,40.6,KRX:222080
Credicorp Ltd.,22.1,NYS:BAP
Credit Acceptance Corp.,24.1,NAS:CACC
Crédit Agricole Assurances SA,24.2,-
Credit Agricole Egypt,33.1,CAI:CIEB
Crédit Agricole Italia SpA,26.2,-
Crédit Agricole SA,22.9,PAR:ACA
CREDIT BANK OF MOSCOW PJSC,32.5,MIC:CBOM
Credit Corp. Group Ltd.,15.7,ASX:CCP
Crédit Logement SA,23.7,-
Crédit Mutuel Arkéa SCFA,10.8,-
"Credit Saison Co., Ltd.",28.0,TKS:8253
Credit Suisse Group AG,31.4,-
CreditAccess Grameen Ltd.,17.3,BOM:541770
Credito Emiliano SpA,26.1,MIL:CE
Credo Technology Group Holding Ltd.,22.8,NAS:CRDO
Crescent Energy Co.,51.7,NYS:CRGY
Crescent Point Energy Corp.,42.6,TSE:CPG
Cresco Ltd.,25.2,TKS:4674
Crest Nicholson Holdings Plc,17.3,LON:CRST
Crestwood Equity Partners LP,19.7,-
"Crew Energy, Inc.",42.8,TSE:CR
"CRH Americas, Inc.",36.7,-
CRH Plc,20.6,NYS:CRH
"Cricut, Inc.",19.8,NAS:CRCT
"Crinetics Pharmaceuticals, Inc.",31.9,NAS:CRNX
CRISIL Ltd.,18.5,BOM:500092
CRISPR Therapeutics AG,25.4,NAS:CRSP
Criteo SA,17.6,NAS:CRTO
Criteria Caixa SA,11.3,-
"Crocs, Inc.",15.3,NAS:CROX
Croda International Plc,20.6,LON:CRDA
Crombie Real Estate Investment Trust,18.1,TSE:CRR.UT
Crompton Greaves Consumer Electricals Ltd.,15.2,BOM:539876
Cromwell European Real Estate Investment Trust,8.8,SES:CWBU
Cromwell Property Group,13.5,ASX:CMW
"Cronos Group, Inc.",40.9,TSE:CRON
CropEnergies AG,30.6,ETR:CE2
"Cross Country Healthcare, Inc.",19.3,NAS:CCRN
"CrossFirst Bankshares, Inc.",27.7,NAS:CFB
Crosslinx Transit Solutions GP,32.0,-
"CrowdStrike Holdings, Inc.",18.2,NAS:CRWD
"Crown Castle, Inc.",13.4,NYS:CCI
"Crown Holdings, Inc.",10.5,NYS:CCK
CRRC Corp. Ltd.,30.9,HKG:1766
"CryoPort, Inc.",24.9,NAS:CYRX
Crystal International Group Ltd.,14.9,HKG:2232
"CrystalGenomics Invites Co., Ltd.",32.9,KRX:083790
"CS Disco, Inc.",23.9,NYS:LAW
CS Wind Corp.,28.2,KRX:112610
CSBC Corp. Taiwan,24.0,TAI:2208
"CSC Financial Co., Ltd.",28.4,HKG:6066
"CSG Holding Co., Ltd.",43.1,SHE:000012
"CSG Systems International, Inc.",16.2,NAS:CSGS
CSI Compressco LP,32.5,NAS:CCLP
CSI Properties Ltd.,19.4,HKG:497
CSL Ltd.,24.7,ASX:CSL
CSN Mineração SA,23.1,BSP:CMIN3
CSPC Pharmaceutical Group Ltd.,31.4,HKG:1093
CSR Ltd.,30.8,ASX:CSR
CSS (FSCC) Partnership,25.6,-
"CSSC (Hong Kong) Shipping Co., Ltd. (Hong Kong)",30.9,HKG:3877
CStone Pharmaceuticals Co. Ltd.,35.6,HKG:2616
"CSW Industrials, Inc.",26.6,NAS:CSWI
CSX Corp.,22.0,NAS:CSX
CT Property Trust Ltd.,14.8,-
CT Real Estate Investment Trust,15.0,TSE:CRT.UT
CT Trust,36.0,-
"CTBC Financial Holding Co., Ltd.",19.9,TAI:2891
CTCI Corp.,24.9,TAI:9933
Cteep - Companhia de Transmissao de Energia Eletrica Paulista,28.3,BSP:TRPL4
CTEK AB,27.7,OME:CTEK
CTI BioPharma Corp.,27.5,-
"CTI Engineering Co., Ltd.",42.3,TKS:9621
"CTO Realty Growth, Inc.",20.5,NYS:CTO
CTOS Digital Bhd.,22.6,KLS:5301
CTP NV,10.0,AMS:CTPNV
"CTS Co., Ltd.",26.1,TKS:4345
CTS Corp.,8.7,NYS:CTS
CTS Eventim AG & Co. KGaA,16.1,ETR:EVD
CTS International Logistics Corp. Ltd.,26.2,SHG:603128
CTT - Correios de Portugal SA,16.4,LIS:CTT
CTT Systems AB,31.7,OME:CTT
"CU, Inc.",33.6,-
"CUB Elecparts, Inc.",23.7,TAI:2231
CubeSmart,17.6,NYS:CUBE
"Cuckoo Holdings Co., Ltd.",25.7,KRX:192400
"Cuckoo Homesys Co., Ltd.",25.9,KRX:284740
"Cue Health, Inc.",33.7,NAS:HLTH
"Cullen/Frost Bankers, Inc.",26.8,NYS:CFR
"Cullinan Oncology, Inc.",34.7,NAS:CGEM
Cummins India Ltd.,24.2,BOM:500480
"Cummins, Inc.",18.9,NYS:CMI
"Cumulus Media, Inc.",12.9,NAS:CMLS
Cureus GmbH,10.1,-
CureVac NV,27.9,NAS:CVAC
Curo Group Holdings Corp.,24.2,NYS:CURO
Currys Plc,12.6,LON:CURY
Curtiss-Wright Corp.,37.5,NYS:CW
"Curves Holdings Co., Ltd.",35.2,TKS:7085
Cury Construtora e Incorporadora SA,21.1,BSP:CURY3
Cushman & Wakefield Plc,16.5,NYS:CWK
Custodian Property Income REIT Plc,15.2,LON:CREI
"Custom Truck One Source, Inc.",28.9,NYS:CTOS
"Customers Bancorp, Inc.",25.6,NYS:CUBI
"Cutera, Inc.",25.9,NAS:CUTR
CVB Financial Corp.,28.3,NAS:CVBF
CVC Brasil Operadora e Agência de Viagens SA,34.6,BSP:CVCB3
Cvent Holding Corp.,21.0,-
"CVR Energy, Inc.",49.1,NYS:CVI
CVS Group Plc,30.3,LON:CVSG
CVS Health Corp.,22.0,NYS:CVS
"CyberAgent, Inc.",16.9,TKS:4751
CyberArk Software Ltd.,17.4,NAS:CYBR
"CYBERDYNE, Inc.",37.7,TKS:7779
Cyberlink Corp.,26.8,TAI:5203
"CyberTAN Technology, Inc.",21.0,TAI:3062
"Cybozu, Inc.",24.3,TKS:4776
Cydsa SAB de CV,26.3,MEX:CYDSASAA
Cyfrowy Polsat SA,18.5,WAR:CPS
Cyient Ltd.,20.6,BOM:532175
"CymaBay Therapeutics, Inc.",36.9,NAS:CBAY
Cyrela Brazil Realty SA Empreendimentos e Participações,18.1,BSP:CYRE3
"Cytek Biosciences, Inc.",29.0,NAS:CTKB
"Cytokinetics, Inc.",21.5,NAS:CYTK
"Cyxtera Technologies, Inc.",32.4,OTC:CYXTQ
Czech Gas Networks Investments SARL,14.6,-
D-Link Corp.,12.5,TAI:2332
"D.R. Horton, Inc.",21.9,NYS:DHI
D'Amico International Shipping SA,35.8,MIL:DIS
D'Ieteren Group,11.3,BRU:DIE
D/S Norden A/S,21.6,CSE:DNORD
"D&L Industries, Inc.",22.9,PHS:DNL
D&O Green Technologies Bhd.,31.5,KLS:7204
daa Plc,23.9,-
"Daan Gene Co., Ltd.",30.6,SHE:002030
Dabur India Ltd.,32.3,BOM:500096
Dada Nexus Ltd.,25.7,NAS:DADA
Dadi Early-Childhood Education Group Ltd.,16.0,ROCO:8437
"Dae Myoung Energy Co., Ltd.",30.6,KRX:389260
"DAEA TI Co., Ltd.",25.4,KRX:045390
"DAEDUCK Co., Ltd.",23.0,KRX:008060
"Daeduck Electronics Co., Ltd.",23.3,KRX:353200
"DAEHAN FLOUR MILLS Co., Ltd.",44.5,KRX:001130
"Daejoo Electronic Materials Co., Ltd.",41.5,KRX:078600
Daesang Corp.,37.6,KRX:001680
"DAESUNG HOLDINGS Co., Ltd.",47.8,KRX:016710
Daewoo Engineering & Construction Co. Ltd.,34.0,KRX:047040
"Daewoong Co., Ltd.",32.8,KRX:003090
"Daewoong Pharmaceutical Co., Ltd.",39.0,KRX:069620
Dagang NeXchange Bhd.,32.8,KLS:4456
Dah Sing Banking Group Ltd.,32.0,HKG:2356
Dah Sing Financial Holdings Ltd.,29.3,HKG:440
"Dai Nippon Printing Co., Ltd.",7.4,TKS:7912
"Dai Nippon Toryo Co., Ltd.",42.8,TKS:4611
"DAI-DAN Co., Ltd.",31.0,TKS:1980
"Dai-ichi Life Holdings, Inc.",27.0,TKS:8750
Daicel Corp.,30.7,TKS:4202
