company,pe_ratio,roe,roa
Saakshi Medtech,33.56,34.34,33.26
RPG LifeScience.,29.90,24.21,33.18
Nitta Gelatin,9.58,29.16,33.13
Aik Pipes & Poly,39.18,49.21,32.87
EMS,23.47,24.76,32.74
L&T Technology,43.52,25.01,32.65
Suven Pharma,44.26,24.51,32.47
Menon Bearings,25.71,26.62,32.10
Goa Carbon,7.20,53.70,32.08
Man Infra,26.22,26.43,31.99
D P Wires,19.71,23.89,31.98
Priti Internati.,29.88,23.57,31.91
Stylam Industrie,25.47,26.32,31.85
Tirupati Forge,30.01,29.18,31.78
Rolex Rings,34.99,30.75,31.78
Uniparts India,14.98,27.12,31.71
BLS Internat.,52.07,29.53,31.60
Narayana Hrudaya,32.70,33.06,31.59
Tube Investments,75.31,26.97,31.58
CG-VAK Software,21.03,25.06,31.57
Ram Info,15.42,23.51,31.53
G M D C,13.78,22.89,31.31
Galaxy Bearings,26.91,23.90,31.30
Gujarat Gas,27.78,24.19,31.22
Monarch Networth,21.08,22.12,31.19
Magellanic Cloud,69.24,39.50,31.16
Shreyans Inds.,3.85,27.43,30.99
Praj Industries,37.43,23.69,30.95
Punjab Chemicals,25.11,24.24,30.93
Brightcom Group,2.77,22.30,30.91
Pyramid Technopl,22.28,34.88,30.90
Automotive Axles,18.01,23.43,30.81
Coforge,50.67,25.13,30.78
Uni Abex Alloy,17.63,25.06,30.77
Party Cruisers,33.08,24.22,30.77
Guj. Containers,10.03,37.75,30.67
R Systems Intl.,47.93,27.73,30.64
IKIO Lighting,49.03,39.86,30.59
Vishnusurya,63.12,32.85,30.52
Thomas Scott,34.22,26.53,30.44
Vinati Organics,43.82,22.63,30.35
C D S L,61.53,23.80,30.32
Persistent Sys,55.70,25.32,30.30
AGI Infra,20.14,32.13,30.25
Sumitomo Chemi.,54.96,23.39,30.24
NMDC,13.09,23.00,30.22
KPIT Technologi.,82.56,25.70,30.18
Vishnu Chemicals,18.75,38.67,30.12
Duncan Engg.,23.49,23.52,30.11
Prolife Indust.,11.99,23.86,29.96
Styrenix Perfor.,16.38,22.93,29.95
Bharat Electron,41.12,22.79,29.92
Glenmark Life,17.58,22.30,29.88
Aaron Industries,51.40,29.69,29.71
Deepak Nitrite,42.51,22.71,29.70
Gujarat Fluoroch,45.90,27.03,29.62
S P I C,7.86,35.86,29.58
Aurangabad Dist.,12.11,28.94,29.58
Kilburn Engg.,28.82,33.73,29.43
U P Hotels,23.42,21.65,29.40
Kothari Petroche,14.26,21.86,29.34
KFin Technolog.,39.38,25.86,29.34
Accent Microcell,57.39,34.11,29.26
WPIL,18.23,26.25,29.21
Lloyds Engineeri,95.47,25.44,29.20
Prakash Pipes,12.70,22.84,29.00
Schaeffler India,52.76,21.88,28.98
C.E. Info System,83.89,22.35,28.96
Mphasis,30.55,21.86,28.90
Vasundhara Rasy.,13.90,23.12,28.79
Dhanalaxmi Roto,5.48,20.04,28.70
Triveni Turbine,57.53,21.50,28.70
Indo Borax & Ch.,15.71,21.05,28.69
Advait Infratech,48.79,21.74,28.68
E2E Networks,66.19,22.58,28.63
Pakka,16.69,27.20,28.49
JK Paper,5.56,33.95,28.46
Raghav Product.,63.97,21.14,28.46
Saksoft,35.59,22.67,28.41
XPRO India,73.99,26.57,28.35
HCL Technologies,24.96,23.00,28.26
Gokul Agro,13.95,23.62,28.21
CMS Info Systems,20.46,20.19,28.17
Chemfab Alka.,11.50,20.71,28.16
Tata Technolog.,76.15,23.68,28.14
Apcotex Industri,36.71,24.72,28.00
Timken India,67.62,21.13,27.99
Dhunseri Vent.,4.36,23.12,27.98
Sagar Diamonds,3.18,20.06,27.90
Alkyl Amines,79.41,21.46,27.87
India Pesticides,42.15,20.43,27.80
Global Pet Indus,59.81,20.36,27.67
Grindwell Norton,68.85,20.74,27.60
Earthstahl &All.,22.03,29.56,27.57
Jamna Auto Inds.,23.37,22.92,27.54
Titan Biotech,18.03,21.86,27.53
Synoptics Techno,17.63,29.85,27.53
Godawari Power,13.67,22.29,27.49
Varun Beverages,81.90,33.54,27.39
Happiest Minds,62.20,28.93,27.37
Eicher Motors,29.52,21.12,27.35
Lancer Containe.,38.86,40.65,27.32
Committed Cargo,12.35,20.20,27.30
Ratnamani Metals,38.13,21.05,27.26
Gretex Corporate,61.20,73.57,27.26
Greenpanel Inds.,29.20,23.58,27.17
Century Plyboard,44.61,22.78,27.05
Rajratan Global,53.14,25.66,27.04
Dhanuka Agritech,21.27,21.32,27.01
APL Apollo Tubes,52.46,23.50,26.90
Cummins India,41.76,21.63,26.82
Suraj Products,16.74,28.67,26.80
