GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
620,Portugal,37.61904761904762 %,55.208333333333336 %,71.79487179487178 %,67.67195767195767 %,20.833333333333336 %,56.785714285714285 %,60 %,83.33333333333334 %,83.92857142857143 %,59.06084656084656 %,34.25925925925926 %,50.53030303030304 %,19.666666666666668 %,66.15384615384615 %,58.0952380952381 %,19.848484848484844 %,47.013888888888886 %
630,Puerto Rico,7.142857142857142 %,6.666666666666667 %,9.23076923076923 %,10.666666666666666 %,0 %,42.395833333333336 %,70 %,31.25 %,31.25 %,20 %,5.555555555555555 %,40.909090909090914 %,0 %,16.153846153846153 %,35 %,6.249999999999999 %,22.314814814814817 %
634,Qatar,27.976190476190478 %,23.333333333333332 %,74.48717948717949 %,51 %,18.055555555555554 %,51.770833333333336 %,80 %,43.75 %,67.1875 %,39.583333333333336 %,30.555555555555557 %,46.81818181818182 %,16.666666666666668 %,26.153846153846157 %,36.964285714285715 %,16.89814814814815 %,52.345679012345684 %
410,Republic of Korea,36.547619047619044 %,56.041666666666664 %,71.28205128205127 %,59.57142857142856 %,30.555555555555557 %,58.854166666666664 %,80 %,54.166666666666664 %,73.4375 %,63.33333333333333 %,29.01234567901235 %,47.8030303030303 %,20.999999999999996 %,26.153846153846157 %,48.92857142857142 %,31.249999999999993 %,52.160493827160494 %
498,Republic of Moldova,32.14285714285713 %,48.541666666666664 %,77.56410256410255 %,42.48677248677249 %,30.555555555555557 %,66.30952380952381 %,80 %,81.94444444444443 %,76.78571428571429 %,49.53703703703704 %,18.88888888888889 %,28.863636363636363 %,0 %,0 %,59.04761904761905 %,23.232323232323235 %,67.95138888888889 %
638,Réunion,7.142857142857142 %,1.25 %,3.8461538461538463 %,0 %,0 %,34.89583333333333 %,20 %,8.333333333333332 %,4.166666666666666 %,2.5 %,5.555555555555555 %,23.18181818181818 %,0 %,15.384615384615383 %,34.58333333333333 %,0 %,9.444444444444445 %
642,Romania,41.9047619047619 %,53.125 %,70.83333333333333 %,47.98941798941799 %,33.33333333333333 %,68.69047619047618 %,60 %,62.5 %,83.92857142857143 %,52.31481481481482 %,22.22222222222222 %,47.04545454545455 %,18.333333333333332 %,56.15384615384615 %,44.76190476190476 %,21.36363636363636 %,44.513888888888886 %
643,Russian Federation,55.35714285714286 %,44.375 %,74.67948717948717 %,48.730158730158735 %,18.055555555555554 %,59.76190476190475 %,60 %,64.58333333333334 %,73.21428571428571 %,57.870370370370374 %,23.51851851851852 %,36.59090909090909 %,21.66666666666667 %,46.15384615384615 %,44.76190476190476 %,16.515151515151516 %,58.36805555555556 %
646,Rwanda,27.380952380952383 %,48.333333333333336 %,73.07692307692307 %,54 %,43.05555555555556 %,67.39583333333333 %,100 %,75 %,78.125 %,50.83333333333333 %,22.22222222222222 %,35.45454545454545 %,0 %,0 %,59.76190476190476 %,20.416666666666664 %,74.4753086419753 %
652,Saint Barthélemy,7.142857142857142 %,0 %,0 %,0 %,0 %,22.916666666666664 %,20 %,0 %,0 %,0 %,0 %,9.090909090909092 %,0 %,11.538461538461538 %,26.25 %,0 %,0.9259259259259258 %
654,Saint Helena,7.142857142857142 %,6.25 %,2.564102564102564 %,10 %,0 %,22.916666666666664 %,40 %,4.166666666666666 %,25 %,13.333333333333334 %,5.555555555555555 %,0 %,0 %,11.538461538461538 %,37.91666666666667 %,0 %,20.833333333333336 %
659,Saint Kitts and Nevis,7.142857142857142 %,27.500000000000004 %,31.923076923076927 %,22.04761904761905 %,4.166666666666666 %,29.375 %,80 %,29.166666666666668 %,20.3125 %,32.5 %,5.555555555555555 %,35.45454545454545 %,0 %,46.15384615384615 %,28.63095238095238 %,15.50925925925926 %,57.098765432098766 %
662,Saint Lucia,11.904761904761903 %,42.50000000000001 %,52.43589743589744 %,52 %,5.555555555555555 %,46.041666666666664 %,100 %,42.70833333333333 %,48.4375 %,40.833333333333336 %,5.555555555555555 %,36.59090909090909 %,0 %,16.153846153846153 %,57.67857142857142 %,24.305555555555554 %,67.80864197530865 %
663,Saint Martin (French Part),7.142857142857142 %,0 %,3.8461538461538463 %,0 %,0 %,24.166666666666664 %,30 %,0 %,0 %,2.5 %,0 %,9.090909090909092 %,0 %,11.538461538461538 %,24.583333333333336 %,2.083333333333333 %,1.2037037037037037 %
666,Saint Pierre and Miquelon,7.142857142857142 %,0 %,0 %,0 %,0 %,26.190476190476193 %,20 %,0 %,0 %,13.88888888888889 %,5.555555555555555 %,0 %,0 %,11.538461538461538 %,26.25 %,0 %,2.083333333333333 %
670,Saint Vincent and the Grenadines,9.523809523809524 %,34.583333333333336 %,63.97435897435897 %,36.333333333333336 %,15.277777777777779 %,36.666666666666664 %,100 %,33.33333333333333 %,32.8125 %,40.833333333333336 %,5.555555555555555 %,26.36363636363636 %,0 %,36.15384615384615 %,56.96428571428571 %,20.138888888888886 %,69.84567901234567 %
882,Samoa,21.428571428571434 %,50.416666666666664 %,63.33333333333334 %,42.00000000000001 %,4.166666666666666 %,51.770833333333336 %,100 %,33.33333333333333 %,35.9375 %,44.58333333333333 %,23.91975308641975 %,37.727272727272734 %,16.666666666666668 %,46.15384615384615 %,45.29761904761905 %,19.444444444444443 %,77.43827160493827 %
674,San Marino,7.142857142857142 %,8.333333333333332 %,23.076923076923077 %,29.259259259259256 %,4.166666666666666 %,37.976190476190474 %,20 %,22.916666666666664 %,28.57142857142857 %,23.41269841269841 %,5.555555555555555 %,5.454545454545454 %,0 %,0 %,33.095238095238095 %,2.525252525252525 %,24.96527777777778 %
678,Sao Tome and Principe,16.666666666666668 %,46.25 %,68.58974358974359 %,27.76190476190476 %,4.166666666666666 %,67.70833333333333 %,100 %,41.66666666666667 %,35.9375 %,32.083333333333336 %,16.666666666666664 %,35.45454545454545 %,0 %,25.384615384615383 %,59.76190476190476 %,18.055555555555554 %,71.32716049382715 %
680,Sark,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,8.055555555555555 %,0 %,0 %
682,Saudi Arabia,17.023809523809526 %,40 %,70.64102564102565 %,55.99999999999999 %,18.055555555555554 %,35.104166666666664 %,80 %,60.416666666666664 %,67.1875 %,50.83333333333333 %,22.12962962962963 %,48.18181818181818 %,14.000000000000002 %,15.384615384615383 %,49.047619047619044 %,22.36111111111111 %,53.17901234567901 %
686,Senegal,17.85714285714286 %,67.70833333333334 %,80.76923076923076 %,58.23809523809524 %,13.88888888888889 %,82.70833333333334 %,100 %,56.25 %,64.0625 %,44.58333333333334 %,16.666666666666664 %,27.499999999999996 %,0 %,26.153846153846157 %,59.04761904761905 %,18.611111111111107 %,76.60493827160492 %
688,Serbia,47.261904761904766 %,48.958333333333336 %,72.75641025641025 %,47.14285714285714 %,33.33333333333333 %,67.26190476190476 %,80 %,70.83333333333334 %,82.14285714285714 %,41.2037037037037 %,20.370370370370367 %,32.04545454545455 %,12.22222222222222 %,0 %,61.42857142857142 %,15.303030303030305 %,65.55555555555556 %
690,Seychelles,9.523809523809524 %,48.75000000000001 %,73.84615384615384 %,47 %,9.722222222222223 %,41.875 %,100 %,54.166666666666664 %,42.1875 %,35.833333333333336 %,5.555555555555555 %,25.454545454545453 %,0 %,46.15384615384615 %,49.76190476190476 %,20.138888888888886 %,62.901234567901234 %
694,Sierra Leone,16.666666666666668 %,42.91666666666667 %,80.12820512820512 %,43.33333333333333 %,4.166666666666666 %,75.9375 %,100 %,50 %,32.8125 %,34.583333333333336 %,16.666666666666664 %,35.45454545454545 %,0 %,25.384615384615383 %,59.04761904761905 %,24.861111111111107 %,74.38271604938271 %
702,Singapore,9.523809523809524 %,27.083333333333336 %,77.05128205128204 %,43.33333333333334 %,18.055555555555554 %,50.72916666666666 %,80 %,47.91666666666667 %,73.4375 %,43.57142857142858 %,5.555555555555555 %,48.63636363636363 %,0 %,12.307692307692308 %,30.297619047619044 %,17.083333333333332 %,49.197530864197525 %
534,Sint Maarten (Dutch part),7.142857142857142 %,0 %,1.5384615384615385 %,0 %,0 %,11.666666666666666 %,50 %,12.5 %,16.145833333333332 %,2.5 %,0 %,13.636363636363635 %,0 %,11.538461538461538 %,22.916666666666664 %,0 %,15.277777777777779 %
703,Slovakia,32.38095238095238 %,52.08333333333333 %,68.9102564102564 %,55.925925925925924 %,22.22222222222222 %,68.69047619047618 %,60 %,83.33333333333334 %,82.14285714285714 %,50.92592592592592 %,5.555555555555555 %,38.40909090909091 %,5 %,20 %,61.42857142857142 %,21.111111111111107 %,54.305555555555564 %
705,Slovenia,46.30952380952381 %,48.95833333333333 %,71.79487179487178 %,55.820105820105816 %,33.33333333333333 %,67.26190476190476 %,60 %,79.16666666666666 %,83.92857142857143 %,55.092592592592595 %,21.234567901234566 %,50.53030303030304 %,20.999999999999996 %,52.307692307692314 %,61.42857142857142 %,21.91919191919192 %,48.47222222222223 %
90,Solomon Islands,28.57142857142857 %,40 %,61.66666666666666 %,32.047619047619044 %,4.166666666666666 %,39.791666666666664 %,100 %,33.33333333333333 %,35.9375 %,40.833333333333336 %,24.38271604938272 %,24.545454545454547 %,16.666666666666668 %,35.38461538461538 %,47.67857142857143 %,18.055555555555554 %,74.01234567901234 %
