GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
4,Afghanistan,20.95238095238095 %,51.66666666666667 %,70.8974358974359 %,32.047619047619044 %,6.944444444444445 %,66.875 %,100 %,52.083333333333336 %,50 %,35.833333333333336 %,30.339506172839503 %,26.36363636363636 %,11.555555555555555 %,0 %,49.76190476190476 %,18.749999999999996 %,70.30864197530863 %
248,Åland Islands,0 %,4.166666666666666 %,0 %,0 %,0 %,7.142857142857142 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,16.38888888888889 %,0 %,2.083333333333333 %
8,Albania,39.761904761904766 %,49.58333333333334 %,65.06410256410255 %,68.51851851851852 %,30.555555555555557 %,68.69047619047618 %,80 %,46.875 %,66.07142857142857 %,52.31481481481482 %,25.864197530864196 %,30.909090909090907 %,6 %,35.38461538461538 %,45.714285714285715 %,15.303030303030305 %,62.74305555555555 %
12,Algeria,28.57142857142857 %,50.83333333333333 %,68.58974358974359 %,39.14285714285714 %,4.166666666666666 %,66.35416666666667 %,100 %,51.041666666666664 %,60.9375 %,44.404761904761905 %,37.5 %,35.909090909090914 %,16.666666666666668 %,16.153846153846153 %,59.04761904761905 %,21.38888888888889 %,65.49382716049382 %
16,American Samoa,7.142857142857142 %,0 %,5.384615384615384 %,0 %,0 %,29.895833333333332 %,40 %,0 %,5.729166666666666 %,10 %,5.555555555555555 %,9.090909090909092 %,0 %,11.538461538461538 %,34.58333333333333 %,2.083333333333333 %,10.925925925925926 %
20,Andorra,7.142857142857142 %,8.333333333333332 %,42.30769230769231 %,22.96296296296296 %,5.555555555555555 %,44.642857142857146 %,40 %,12.5 %,21.428571428571427 %,13.88888888888889 %,5.555555555555555 %,20.681818181818183 %,0 %,0 %,39.345238095238095 %,7.828282828282827 %,23.645833333333332 %
24,Angola,30.35714285714285 %,50.416666666666664 %,57.05128205128205 %,15.666666666666668 %,4.166666666666666 %,59.791666666666664 %,100 %,33.33333333333333 %,60.9375 %,54.58333333333333 %,34.876543209876544 %,24.545454545454547 %,16.666666666666668 %,35.38461538461538 %,50.71428571428571 %,18.47222222222222 %,70.77160493827161 %
660,Anguilla,15.47619047619048 %,5.416666666666667 %,13.076923076923078 %,0 %,0 %,11.666666666666666 %,50 %,12.5 %,16.145833333333332 %,22.5 %,5.555555555555555 %,22.727272727272727 %,0 %,21.538461538461537 %,25 %,6.944444444444444 %,29.537037037037035 %
28,Antigua and Barbuda,15.357142857142856 %,29.583333333333332 %,63.33333333333334 %,34.904761904761905 %,5.555555555555555 %,41.875 %,100 %,25 %,35.9375 %,35.833333333333336 %,7.901234567901234 %,37.5 %,1.9999999999999998 %,45.38461538461539 %,47.67857142857143 %,21.527777777777775 %,51.358024691358025 %
32,Argentina,52.73809523809524 %,56.25 %,79.23076923076923 %,43.952380952380956 %,29.166666666666668 %,53.85416666666667 %,100 %,71.875 %,76.5625 %,52.08333333333333 %,20.432098765432098 %,46.13636363636363 %,9.555555555555555 %,66.15384615384615 %,57.38095238095238 %,23.749999999999996 %,71.79012345679013 %
51,Armenia,57.02380952380952 %,48.541666666666664 %,70 %,58.80952380952381 %,41.66666666666667 %,70.52083333333333 %,100 %,75 %,71.875 %,53.333333333333336 %,36.11111111111111 %,38.40909090909091 %,16.666666666666668 %,12.5 %,53.92857142857142 %,21.25 %,76.51234567901236 %
533,Aruba,13.095238095238097 %,4.166666666666666 %,5.384615384615384 %,0 %,0 %,15.833333333333332 %,70 %,25 %,20.3125 %,15 %,5.555555555555555 %,31.818181818181817 %,0 %,11.538461538461538 %,21.25 %,0 %,40.27777777777778 %
36,Australia,33.57142857142858 %,46.45833333333334 %,77.56410256410255 %,32.116402116402114 %,20.833333333333336 %,55.833333333333336 %,60 %,77.08333333333334 %,69.64285714285714 %,59.06084656084656 %,25.61728395061728 %,35.68181818181818 %,20.999999999999996 %,46.15384615384615 %,59.04761904761905 %,21.616161616161616 %,54.61805555555554 %
40,Austria,37.38095238095238 %,48.95833333333333 %,71.79487179487178 %,49.47089947089947 %,22.22222222222222 %,68.69047619047618 %,60 %,79.16666666666666 %,82.14285714285714 %,62.03703703703704 %,14.351851851851851 %,47.5 %,11.000000000000002 %,20 %,53.095238095238095 %,17.828282828282827 %,50.138888888888886 %
31,Azerbaijan,27.380952380952383 %,51.5625 %,70.8974358974359 %,53.23809523809524 %,18.055555555555554 %,70.52083333333333 %,100 %,46.875 %,75 %,37.916666666666664 %,11.11111111111111 %,38.86363636363637 %,0 %,15.384615384615385 %,55.714285714285715 %,26.25 %,69.10493827160494 %
44,Bahamas,7.142857142857142 %,27.500000000000004 %,63.589743589743584 %,16.333333333333332 %,4.166666666666666 %,24.375 %,100 %,39.58333333333333 %,35.9375 %,30 %,5.555555555555555 %,34.54545454545455 %,0 %,16.153846153846153 %,30.71428571428571 %,15.50925925925926 %,46.60493827160494 %
48,Bahrain,9.523809523809524 %,24.166666666666668 %,70.64102564102565 %,44.666666666666664 %,16.666666666666664 %,51.770833333333336 %,80 %,33.33333333333333 %,48.4375 %,36.25 %,5.555555555555555 %,46.81818181818182 %,0 %,25.384615384615383 %,29.345238095238095 %,16.25 %,44.19753086419753 %
50,Bangladesh,34.76190476190476 %,53.75 %,76.66666666666667 %,36.333333333333336 %,18.055555555555554 %,71.77083333333333 %,100 %,42.70833333333333 %,64.0625 %,47.083333333333336 %,36.11111111111111 %,34.54545454545455 %,15.999999999999998 %,46.15384615384615 %,59.04761904761905 %,22.777777777777775 %,71.88271604938272 %
52,Barbados,13.80952380952381 %,54.99999999999999 %,63.589743589743584 %,27.714285714285715 %,20.833333333333336 %,39.791666666666664 %,100 %,39.58333333333333 %,39.0625 %,37.5 %,15.246913580246913 %,25.454545454545453 %,7.999999999999999 %,26.153846153846157 %,35.17857142857143 %,15.50925925925926 %,50.80246913580246 %
112,Belarus,49.404761904761905 %,42.291666666666664 %,71.79487179487178 %,57.67195767195767 %,29.166666666666668 %,52.976190476190474 %,80 %,61.458333333333336 %,78.57142857142857 %,52.31481481481482 %,38.333333333333336 %,30.22727272727273 %,21.66666666666667 %,0 %,44.76190476190476 %,16.464646464646464 %,62.22222222222222 %
56,Belgium,31.190476190476186 %,53.95833333333333 %,67.94871794871794 %,53.492063492063494 %,9.722222222222223 %,60.11904761904761 %,60 %,83.33333333333334 %,83.92857142857143 %,63.42592592592592 %,22.22222222222222 %,50.07575757575757 %,5 %,66.15384615384615 %,49.76190476190476 %,22.87878787878788 %,47.013888888888886 %
84,Belize,16.666666666666668 %,46.25 %,74.74358974358975 %,44.00000000000001 %,8.333333333333332 %,53.541666666666664 %,100 %,55.208333333333336 %,51.5625 %,40.833333333333336 %,16.666666666666664 %,35.45454545454545 %,0 %,46.15384615384615 %,59.76190476190476 %,20.37037037037037 %,71.41975308641976 %
204,Benin,41.666666666666664 %,50 %,71.79487179487178 %,34.85714285714286 %,5.555555555555555 %,63.95833333333334 %,100 %,45.83333333333333 %,45.3125 %,45.83333333333333 %,31.944444444444443 %,26.36363636363636 %,16.666666666666668 %,25.384615384615383 %,57.26190476190476 %,18.055555555555554 %,69.75308641975309 %
60,Bermuda,8.333333333333334 %,6.666666666666667 %,5.769230769230769 %,0 %,0 %,29.4047619047619 %,50 %,20.833333333333336 %,44.642857142857146 %,13.88888888888889 %,5.555555555555555 %,27.045454545454543 %,0 %,22.30769230769231 %,21.25 %,5.303030303030303 %,31.041666666666668 %
64,Bhutan,28.57142857142857 %,39.583333333333336 %,71.53846153846153 %,44.142857142857146 %,8.333333333333332 %,69.27083333333333 %,100 %,38.54166666666667 %,37.5 %,40.833333333333336 %,24.38271604938272 %,35.22727272727273 %,16.666666666666668 %,0 %,61.42857142857142 %,22.083333333333332 %,65.03086419753087 %
68,Bolivia (Plurinational State of),56.19047619047619 %,47.5 %,75.38461538461537 %,44.00000000000001 %,19.444444444444446 %,52.29166666666667 %,100 %,56.25 %,62.5 %,65.83333333333333 %,22.006172839506174 %,35.68181818181818 %,15.999999999999998 %,0 %,59.04761904761905 %,38.33333333333333 %,65.95679012345678 %
535,"Bonaire, Sint Eustatius and Saba",7.142857142857142 %,0 %,0 %,0 %,0 %,16.666666666666664 %,40 %,0 %,1.5625 %,2.5 %,0 %,18.181818181818183 %,0 %,12.307692307692308 %,22.916666666666664 %,0 %,2.7777777777777777 %
70,Bosnia and Herzegovina,20.238095238095237 %,31.875000000000004 %,73.71794871794872 %,47.14285714285714 %,19.444444444444446 %,80.5952380952381 %,80 %,59.375 %,76.78571428571429 %,39.81481481481482 %,33.33333333333333 %,31.818181818181817 %,6.666666666666667 %,0 %,58.0952380952381 %,17.07070707070707 %,60.034722222222214 %
72,Botswana,34.523809523809526 %,56.25 %,73.07692307692307 %,36.333333333333336 %,11.11111111111111 %,71.5625 %,100 %,66.66666666666666 %,65.625 %,44.58333333333333 %,35.49382716049383 %,38.18181818181819 %,16.666666666666668 %,0 %,59.04761904761905 %,20.69444444444444 %,73.17901234567901 %
74,Bouvet Island,0 %,0 %,0 %,0 %,0 %,2.857142857142857 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,14.305555555555557 %,0 %,0 %
76,Brazil,40.476190476190474 %,68.75000000000001 %,79.23076923076923 %,65.85714285714286 %,33.33333333333333 %,80.10416666666667 %,100 %,70.83333333333334 %,79.6875 %,63.33333333333333 %,17.037037037037038 %,44.54545454545455 %,11.666666666666666 %,36.15384615384615 %,53.095238095238095 %,30.648148148148145 %,70.679012345679 %
86,British Indian Ocean Territory,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,0 %,0 %,0 %,10 %,18.47222222222222 %,0 %,5.555555555555555 %
92,British Virgin Islands,8.333333333333334 %,9.583333333333332 %,9.23076923076923 %,26.333333333333332 %,11.11111111111111 %,17.916666666666668 %,50 %,12.5 %,20.3125 %,10 %,5.555555555555555 %,22.727272727272727 %,0 %,12.307692307692308 %,27.083333333333332 %,0 %,22.68518518518519 %
96,Brunei Darussalam,10.595238095238093 %,14.583333333333334 %,72.94871794871796 %,43.38095238095237 %,20.833333333333336 %,24.166666666666664 %,80 %,56.25 %,54.6875 %,37.5 %,6.666666666666667 %,33.86363636363636 %,1.9999999999999998 %,26.153846153846157 %,40.71428571428571 %,12.962962962962962 %,42.74691358024691 %
100,Bulgaria,43.6904761904762 %,58.333333333333336 %,77.56410256410255 %,49.47089947089947 %,22.22222222222222 %,68.69047619047618 %,50 %,58.333333333333336 %,83.92857142857143 %,49.33862433862434 %,25 %,40.98484848484848 %,21.66666666666667 %,56.15384615384615 %,50.71428571428571 %,21.96969696969697 %,51.49305555555556 %
854,Burkina Faso,33.57142857142858 %,55.00000000000001 %,76.28205128205127 %,42.00000000000001 %,4.166666666666666 %,58.54166666666667 %,100 %,45.83333333333333 %,40.625 %,34.583333333333336 %,29.567901234567906 %,35.45454545454545 %,15.999999999999998 %,0 %,61.42857142857142 %,21.527777777777775 %,71.79012345679011 %
108,Burundi,29.404761904761905 %,44.58333333333333 %,72.43589743589743 %,42.00000000000001 %,6.944444444444445 %,58.54166666666667 %,100 %,41.66666666666667 %,46.875 %,40.833333333333336 %,31.419753086419753 %,27.045454545454543 %,15.999999999999998 %,12.5 %,59.76190476190476 %,22.22222222222222 %,74.84567901234568 %
132,Cabo Verde,37.738095238095234 %,44.16666666666666 %,75.64102564102562 %,44.904761904761905 %,29.166666666666668 %,40.625 %,100 %,46.875 %,57.8125 %,35.833333333333336 %,23.08641975308642 %,35.45454545454545 %,15.999999999999998 %,45.38461538461539 %,46.96428571428571 %,21.52777777777778 %,71.60493827160495 %
116,Cambodia,23.80952380952381 %,56.666666666666664 %,70.89743589743588 %,54.04761904761906 %,19.444444444444446 %,70.20833333333333 %,100 %,55.208333333333336 %,64.0625 %,43.33333333333333 %,28.39506172839506 %,44.54545454545455 %,6.666666666666667 %,26.153846153846157 %,57.38095238095238 %,22.916666666666664 %,73.91975308641975 %
120,Cameroon,33.57142857142857 %,50.416666666666664 %,72.43589743589743 %,37.71428571428571 %,26.38888888888889 %,59.791666666666664 %,100 %,45.83333333333333 %,60.9375 %,53.333333333333336 %,28.487654320987655 %,35.45454545454545 %,9.333333333333332 %,15.384615384615383 %,59.04761904761905 %,25.555555555555554 %,73.73456790123457 %
124,Canada,23.80952380952381 %,57.291666666666664 %,75.64102564102562 %,38.359788359788354 %,6.944444444444445 %,52.73809523809524 %,60 %,68.75 %,83.92857142857143 %,61.838624338624335 %,16.666666666666664 %,38.484848484848484 %,5 %,66.15384615384615 %,54.88095238095237 %,10.15151515151515 %,55.347222222222214 %
136,Cayman Islands,7.142857142857142 %,4.166666666666666 %,5.384615384615384 %,26.333333333333332 %,0 %,11.666666666666666 %,70 %,12.5 %,20.3125 %,15 %,5.555555555555555 %,31.818181818181817 %,0 %,22.30769230769231 %,26.666666666666668 %,4.861111111111111 %,33.61111111111111 %
140,Central African Republic,17.85714285714286 %,48.333333333333336 %,60.256410256410255 %,17.095238095238095 %,4.166666666666666 %,68.95833333333333 %,100 %,41.66666666666667 %,43.75 %,40.833333333333336 %,5.555555555555555 %,34.54545454545455 %,0 %,0 %,61.42857142857142 %,11.111111111111112 %,65.61728395061728 %
148,Chad,17.85714285714286 %,42.083333333333336 %,75 %,39.04761904761905 %,4.166666666666666 %,76.77083333333333 %,100 %,33.33333333333333 %,31.25 %,43.33333333333333 %,16.666666666666664 %,26.36363636363636 %,0 %,0 %,57.38095238095238 %,15.277777777777777 %,57.71604938271605 %
152,Chile,59.04761904761905 %,56.25 %,73.84615384615384 %,44.523809523809526 %,33.33333333333333 %,75.72916666666666 %,100 %,83.33333333333334 %,85.9375 %,74.40476190476191 %,37.5 %,44.54545454545455 %,15.999999999999998 %,66.15384615384615 %,61.42857142857142 %,41.01851851851852 %,60.95679012345679 %
156,China,43.69047619047618 %,43.125 %,72.56410256410255 %,29.904761904761905 %,5.555555555555555 %,71.77083333333333 %,100 %,45.48611111111111 %,76.5625 %,47.083333333333336 %,8.88888888888889 %,49.3939393939394 %,6 %,36.15384615384615 %,59.04761904761905 %,21.11111111111111 %,75.9567901234568 %
344,"China, Hong Kong Special Administrative Region",9.523809523809524 %,9.375 %,5.384615384615384 %,44.666666666666664 %,11.11111111111111 %,28.645833333333332 %,70 %,43.75 %,67.1875 %,40 %,0 %,34.77272727272727 %,0 %,13.846153846153847 %,28.888888888888893 %,15.046296296296296 %,48.33333333333333 %
446,"China, Macao Special Administrative Region",10.714285714285714 %,6.25 %,5.384615384615384 %,43.33333333333334 %,11.11111111111111 %,28.645833333333332 %,70 %,47.91666666666667 %,59.375 %,37.5 %,0 %,35.45454545454545 %,0 %,10 %,18.47222222222222 %,13.194444444444445 %,49.16666666666668 %
162,Christmas Island,0 %,0 %,0 %,0 %,0 %,7.142857142857142 %,0 %,0 %,0 %,11.11111111111111 %,5.555555555555555 %,0 %,0 %,11.538461538461538 %,22.63888888888889 %,0 %,0 %
166,Cocos (Keeling) Islands,0 %,0 %,0 %,0 %,0 %,5.714285714285714 %,0 %,0 %,0 %,11.11111111111111 %,5.555555555555555 %,0 %,0 %,11.538461538461538 %,18.47222222222222 %,0 %,0 %
170,Colombia,57.61904761904761 %,60.00000000000001 %,75.38461538461537 %,67.28571428571428 %,41.66666666666667 %,73.85416666666667 %,100 %,71.875 %,82.8125 %,57.08333333333333 %,52.160493827160494 %,50.757575757575765 %,16.666666666666668 %,56.15384615384615 %,61.42857142857142 %,28.379629629629626 %,77.0679012345679 %
174,Comoros,22.142857142857146 %,42.50000000000001 %,63.46153846153846 %,31.333333333333336 %,5.555555555555555 %,52.29166666666667 %,100 %,41.66666666666667 %,32.8125 %,45.83333333333333 %,23.2716049382716 %,25.454545454545453 %,7.999999999999999 %,25.384615384615383 %,51.42857142857142 %,10.416666666666668 %,65.61728395061728 %
178,Congo,16.666666666666668 %,48.75000000000001 %,68.58974358974359 %,18.523809523809526 %,15.277777777777779 %,66.04166666666667 %,100 %,45.83333333333333 %,60.9375 %,43.33333333333333 %,16.666666666666664 %,26.36363636363636 %,0 %,25.384615384615383 %,50.71428571428571 %,16.666666666666664 %,71.14197530864197 %
184,Cook Islands,9.523809523809524 %,30 %,46.02564102564103 %,47 %,13.88888888888889 %,24.166666666666668 %,80 %,34.375 %,39.0625 %,25.833333333333336 %,5.555555555555555 %,17.272727272727273 %,0 %,21.538461538461537 %,46.01190476190476 %,15.277777777777777 %,39.72222222222222 %
188,Costa Rica,60.83333333333334 %,54.16666666666667 %,75.38461538461537 %,62.33333333333333 %,22.22222222222222 %,71.77083333333333 %,100 %,82.29166666666666 %,79.6875 %,68.33333333333333 %,37.870370370370374 %,38.71212121212121 %,16.666666666666668 %,46.15384615384615 %,61.42857142857142 %,26.52777777777778 %,74.66049382716051 %
384,Côte d'Ivoire,30.95238095238095 %,55.00000000000001 %,80.12820512820512 %,61.238095238095234 %,29.166666666666668 %,72.29166666666667 %,100 %,69.79166666666666 %,67.1875 %,54.58333333333333 %,16.666666666666664 %,35.45454545454545 %,0 %,45.38461538461539 %,59.04761904761905 %,21.018518518518523 %,75.8641975308642 %
191,Croatia,27.61904761904762 %,48.95833333333333 %,75.64102564102562 %,49.47089947089947 %,22.22222222222222 %,56.785714285714285 %,60 %,66.66666666666666 %,83.92857142857143 %,44.57671957671959 %,11.11111111111111 %,40.98484848484848 %,5 %,46.15384615384615 %,44.76190476190476 %,20.858585858585858 %,44.61805555555555 %
192,Cuba,14.523809523809526 %,33.958333333333336 %,72.56410256410255 %,47.714285714285715 %,16.666666666666664 %,59.27083333333333 %,100 %,30.208333333333332 %,67.1875 %,35.833333333333336 %,22.006172839506174 %,22.272727272727273 %,2.6666666666666665 %,32.30769230769231 %,50.71428571428571 %,13.61111111111111 %,47.12962962962963 %
531,Curaçao,9.523809523809524 %,0 %,5.384615384615384 %,0 %,2.7777777777777777 %,11.666666666666666 %,70 %,22.916666666666664 %,32.8125 %,2.5 %,0 %,15.909090909090908 %,0 %,11.538461538461538 %,22.916666666666664 %,0 %,27.77777777777778 %
196,Cyprus,34.88095238095238 %,40.208333333333336 %,78.33333333333333 %,47.883597883597886 %,33.33333333333333 %,60.11904761904761 %,60 %,66.66666666666666 %,83.92857142857143 %,48.148148148148145 %,9.382716049382715 %,50.07575757575757 %,9.666666666666664 %,46.15384615384615 %,44.76190476190476 %,20.858585858585858 %,38.68055555555556 %
203,Czechia,40.714285714285715 %,52.083333333333336 %,75.64102564102562 %,48.73015873015872 %,33.33333333333333 %,68.69047619047618 %,60 %,83.33333333333334 %,82.14285714285714 %,60.64814814814814 %,31.574074074074076 %,50.53030303030304 %,21.66666666666667 %,20.769230769230766 %,57.26190476190476 %,22.37373737373737 %,48.05555555555556 %
408,Democratic People's Republic of Korea,7.142857142857142 %,28.333333333333332 %,61.02564102564102 %,10 %,4.166666666666666 %,58.54166666666667 %,100 %,25 %,42.70833333333333 %,30.833333333333336 %,5.555555555555555 %,17.272727272727273 %,0 %,15.384615384615383 %,47.38095238095239 %,10.185185185185187 %,25.833333333333336 %
180,Democratic Republic of the Congo,20.238095238095237 %,52.916666666666664 %,71.79487179487178 %,29.19047619047619 %,4.166666666666666 %,73.85416666666667 %,100 %,41.66666666666667 %,48.4375 %,30.833333333333336 %,16.666666666666664 %,26.36363636363636 %,0 %,5.384615384615384 %,50.71428571428571 %,20.138888888888886 %,70.49382716049382 %
208,Denmark,36.547619047619044 %,48.95833333333333 %,77.56410256410255 %,55.820105820105816 %,22.22222222222222 %,54.4047619047619 %,60 %,79.16666666666666 %,83.92857142857143 %,52.31481481481482 %,23.148148148148145 %,47.5 %,15 %,46.15384615384615 %,44.76190476190476 %,12.02020202020202 %,47.63888888888889 %
262,Djibouti,9.523809523809524 %,42.50000000000001 %,51.66666666666666 %,32.047619047619044 %,4.166666666666666 %,43.64583333333333 %,100 %,33.33333333333333 %,32.8125 %,41.904761904761905 %,5.555555555555555 %,26.36363636363636 %,0 %,25.384615384615383 %,50.71428571428571 %,13.88888888888889 %,56.23456790123457 %
212,Dominica,9.523809523809524 %,33.75 %,34.48717948717949 %,36.333333333333336 %,4.166666666666666 %,41.875 %,100 %,25 %,32.8125 %,30.119047619047624 %,5.555555555555555 %,35.45454545454545 %,5 %,35.38461538461538 %,46.96428571428571 %,18.981481481481477 %,65.80246913580248 %
214,Dominican Republic,47.38095238095238 %,55.00000000000001 %,75.38461538461537 %,55.19047619047619 %,44.44444444444444 %,76.45833333333334 %,100 %,68.75 %,54.6875 %,63.33333333333333 %,16.666666666666664 %,35.45454545454545 %,0 %,36.15384615384615 %,55.714285714285715 %,25.972222222222225 %,74.29012345679014 %
218,Ecuador,57.261904761904766 %,53.75000000000001 %,75.38461538461537 %,71 %,30.555555555555557 %,76.45833333333334 %,100 %,67.70833333333334 %,70.3125 %,54.40476190476191 %,36.666666666666664 %,37.272727272727266 %,15.999999999999998 %,56.15384615384615 %,61.42857142857142 %,25.37037037037037 %,71.51234567901236 %
818,Egypt,45.833333333333336 %,47.5 %,72.56410256410255 %,65.85714285714286 %,29.166666666666668 %,53.02083333333333 %,100 %,61.458333333333336 %,82.8125 %,45.83333333333333 %,34.25925925925926 %,43.63636363636363 %,16.666666666666668 %,16.153846153846153 %,47.38095238095239 %,26.990740740740737 %,67.53086419753086 %
222,El Salvador,42.61904761904761 %,54.16666666666667 %,78.58974358974359 %,45.476190476190474 %,30.555555555555557 %,79.58333333333334 %,100 %,67.70833333333334 %,76.5625 %,62.083333333333336 %,16.666666666666664 %,32.651515151515156 %,0 %,55.38461538461539 %,50.71428571428571 %,34.62962962962963 %,74.84567901234568 %
226,Equatorial Guinea,16.071428571428573 %,28.333333333333332 %,55.769230769230774 %,10 %,4.166666666666666 %,46.041666666666664 %,100 %,41.66666666666667 %,48.4375 %,40.833333333333336 %,16.049382716049383 %,25.454545454545453 %,6.666666666666667 %,35.38461538461538 %,55.29761904761904 %,11.574074074074076 %,49.41358024691358 %
232,Eritrea,7.142857142857142 %,24.583333333333336 %,64.74358974358974 %,30.619047619047617 %,2.7777777777777777 %,42.916666666666664 %,80 %,29.166666666666668 %,56.77083333333333 %,35.833333333333336 %,5.555555555555555 %,26.36363636363636 %,0 %,35.38461538461538 %,59.76190476190476 %,9.953703703703704 %,31.7283950617284 %
233,Estonia,43.69047619047618 %,52.708333333333336 %,70.83333333333333 %,48.73015873015872 %,22.22222222222222 %,66.9047619047619 %,60 %,75 %,82.14285714285714 %,64.61640211640211 %,25 %,38.40909090909091 %,21.66666666666667 %,55.38461538461539 %,44.76190476190476 %,33.535353535353536 %,46.388888888888886 %
748,Eswatini,28.57142857142857 %,54.16666666666667 %,68.58974358974359 %,42.714285714285715 %,4.166666666666666 %,66.35416666666667 %,100 %,50 %,59.375 %,43.33333333333333 %,34.5679012345679 %,35.45454545454545 %,16.666666666666668 %,12.5 %,61.42857142857142 %,22.916666666666664 %,70.9567901234568 %
231,Ethiopia,33.57142857142858 %,70.83333333333334 %,84.6153846153846 %,27.714285714285715 %,43.05555555555556 %,68.95833333333333 %,100 %,37.5 %,59.375 %,47.083333333333336 %,31.7283950617284 %,35.45454545454545 %,15.999999999999998 %,0 %,58.0952380952381 %,15.972222222222223 %,73.64197530864197 %
238,Falkland Islands (Malvinas),7.142857142857142 %,6.666666666666667 %,0 %,0 %,0 %,10.416666666666666 %,40 %,0 %,0 %,12.5 %,5.555555555555555 %,9.090909090909092 %,0 %,11.538461538461538 %,27.083333333333332 %,0 %,19.444444444444446 %
234,Faroe Islands,3.571428571428571 %,8.75 %,3.8461538461538463 %,0 %,0 %,5.714285714285714 %,30 %,0 %,16.071428571428573 %,11.11111111111111 %,5.555555555555555 %,9.090909090909092 %,0 %,41.53846153846153 %,27.083333333333332 %,0 %,22.083333333333332 %
242,Fiji,30.95238095238095 %,46.25 %,70 %,33.42857142857142 %,26.38888888888889 %,68.4375 %,100 %,41.66666666666667 %,48.4375 %,43.33333333333333 %,31.790123456790127 %,35.68181818181818 %,16.666666666666668 %,36.15384615384615 %,47.38095238095239 %,18.611111111111107 %,72.1604938271605 %
246,Finland,43.69047619047618 %,48.95833333333333 %,75.64102564102562 %,57.407407407407405 %,33.33333333333333 %,66.3095238095238 %,60 %,75 %,83.92857142857143 %,61.838624338624335 %,36.11111111111111 %,50.53030303030304 %,21.66666666666667 %,56.15384615384615 %,61.42857142857142 %,27.424242424242422 %,53.68055555555556 %
250,France,41.42857142857142 %,48.95833333333333 %,73.71794871794872 %,55.820105820105816 %,33.33333333333333 %,63.92857142857142 %,60 %,83.33333333333334 %,83.92857142857143 %,71.56084656084656 %,35.617283950617285 %,50.53030303030304 %,19.666666666666668 %,66.15384615384615 %,48.92857142857142 %,35 %,48.05555555555556 %
254,French Guiana,7.142857142857142 %,5.416666666666667 %,5.384615384615384 %,0 %,0 %,29.895833333333332 %,20 %,0 %,4.166666666666666 %,12.5 %,5.555555555555555 %,22.954545454545453 %,0 %,15.384615384615383 %,34.58333333333333 %,2.083333333333333 %,9.444444444444445 %
258,French Polynesia,7.142857142857142 %,10.416666666666666 %,5.384615384615384 %,0 %,0 %,24.166666666666664 %,90 %,29.166666666666668 %,20.3125 %,17.5 %,5.555555555555555 %,19.696969696969695 %,0 %,11.538461538461538 %,32.916666666666664 %,4.166666666666666 %,33.61111111111111 %
260,French Southern Territories,0 %,0 %,0 %,0 %,0 %,6.25 %,0 %,0 %,0 %,10 %,0 %,0 %,0 %,10.769230769230768 %,26.805555555555554 %,0 %,5.555555555555555 %
266,Gabon,16.666666666666668 %,46.666666666666664 %,59.61538461538461 %,15.666666666666668 %,4.166666666666666 %,55.625 %,100 %,41.66666666666667 %,57.8125 %,40.833333333333336 %,16.666666666666664 %,26.36363636363636 %,0 %,15.384615384615383 %,57.26190476190476 %,18.749999999999996 %,55.8641975308642 %
270,Gambia,38.69047619047619 %,46.666666666666664 %,76.28205128205127 %,39.04761904761905 %,4.166666666666666 %,78.02083333333334 %,100 %,41.66666666666667 %,48.4375 %,53.333333333333336 %,29.938271604938272 %,35.45454545454545 %,16.666666666666668 %,25.384615384615383 %,53.095238095238095 %,15.833333333333336 %,73.91975308641975 %
268,Georgia,51.78571428571429 %,60.41666666666667 %,79.23076923076923 %,54.57142857142857 %,33.33333333333333 %,75.52083333333334 %,100 %,64.58333333333334 %,85.9375 %,54.58333333333333 %,50.55555555555556 %,45.45454545454545 %,16.666666666666668 %,36.15384615384615 %,54.88095238095237 %,20.69444444444444 %,72.62345679012347 %
276,Germany,37.73809523809524 %,55.208333333333336 %,79.48717948717949 %,55.820105820105816 %,22.22222222222222 %,61.54761904761904 %,60 %,79.16666666666666 %,83.92857142857143 %,74.53703703703704 %,10.185185185185185 %,50.53030303030304 %,10.555555555555554 %,66.15384615384615 %,46.547619047619044 %,35.505050505050505 %,47.013888888888886 %
288,Ghana,35.59523809523809 %,54.16666666666667 %,82.05128205128204 %,49.80952380952381 %,8.333333333333332 %,78.02083333333334 %,100 %,56.25 %,64.0625 %,49.404761904761905 %,38.58024691358025 %,40.22727272727273 %,16.666666666666668 %,46.15384615384615 %,61.42857142857142 %,21.805555555555557 %,71.69753086419752 %
292,Gibraltar,7.142857142857142 %,0 %,3.8461538461538463 %,29.259259259259256 %,0 %,26.190476190476193 %,30 %,0 %,20.833333333333332 %,13.88888888888889 %,5.555555555555555 %,0 %,0 %,15.384615384615383 %,27.083333333333332 %,0 %,8.333333333333332 %
